ward,precinct,total,Hillary Clinton,Hillary Clinton Percent,Willie L. Wilson,Willie L. Wilson Percent,Martin J. O'Malley,Martin J. O'Malley Percent,Roque ''Rocky'' De La Fuente,Roque ''Rocky'' De La Fuente Percent,Larry (Lawrence) Cohen,Larry (Lawrence) Cohen Percent,Bernie Sanders,Bernie Sanders Percent,precinct_id
7,46,186,154,82.8,1,0.54,0,0.0,0,0.0,0,0.0,31,16.67,07046
8,1,303,210,69.31,4,1.32,0,0.0,0,0.0,0,0.0,89,29.37,08001
8,2,398,256,64.32,1,0.25,0,0.0,0,0.0,0,0.0,141,35.43,08002
8,3,425,300,70.59,0,0.0,1,0.24,0,0.0,0,0.0,124,29.18,08003
8,4,420,291,69.29,2,0.48,0,0.0,0,0.0,0,0.0,127,30.24,08004
8,5,412,287,69.66,7,1.7,0,0.0,0,0.0,0,0.0,118,28.64,08005
8,6,399,261,65.41,3,0.75,1,0.25,0,0.0,0,0.0,134,33.58,08006
8,7,444,295,66.44,2,0.45,0,0.0,0,0.0,0,0.0,147,33.11,08007
8,8,373,257,68.9,2,0.54,0,0.0,0,0.0,1,0.27,113,30.29,08008
8,9,275,170,61.82,1,0.36,0,0.0,0,0.0,0,0.0,104,37.82,08009
8,10,461,296,64.21,3,0.65,0,0.0,0,0.0,1,0.22,161,34.92,08010
8,11,346,239,69.08,3,0.87,1,0.29,0,0.0,0,0.0,103,29.77,08011
8,12,350,235,67.14,4,1.14,0,0.0,0,0.0,0,0.0,111,31.71,08012
8,13,443,305,68.85,5,1.13,2,0.45,0,0.0,0,0.0,131,29.57,08013
8,14,338,211,62.43,2,0.59,1,0.3,1,0.3,1,0.3,122,36.09,08014
8,15,364,237,65.11,2,0.55,1,0.27,0,0.0,0,0.0,124,34.07,08015
8,16,154,96,62.34,3,1.95,0,0.0,0,0.0,0,0.0,55,35.71,08016
8,17,337,235,69.73,1,0.3,0,0.0,0,0.0,0,0.0,101,29.97,08017
8,18,375,272,72.53,2,0.53,0,0.0,1,0.27,2,0.53,98,26.13,08018
8,19,438,295,67.35,5,1.14,0,0.0,0,0.0,0,0.0,138,31.51,08019
8,20,420,258,61.43,0,0.0,0,0.0,0,0.0,0,0.0,162,38.57,08020
8,21,488,335,68.65,3,0.61,1,0.2,0,0.0,0,0.0,149,30.53,08021
8,22,345,224,64.93,1,0.29,0,0.0,0,0.0,0,0.0,120,34.78,08022
8,23,331,210,63.44,8,2.42,0,0.0,0,0.0,0,0.0,113,34.14,08023
8,24,234,147,62.82,2,0.85,0,0.0,0,0.0,0,0.0,85,36.32,08024
8,25,384,271,70.57,2,0.52,0,0.0,0,0.0,0,0.0,111,28.91,08025
8,26,405,268,66.17,3,0.74,0,0.0,1,0.25,0,0.0,133,32.84,08026
8,27,419,262,62.53,9,2.15,1,0.24,0,0.0,0,0.0,147,35.08,08027
8,28,390,255,65.38,2,0.51,1,0.26,0,0.0,0,0.0,132,33.85,08028
8,29,464,307,66.16,3,0.65,0,0.0,0,0.0,1,0.22,153,32.97,08029
8,30,438,283,64.61,4,0.91,0,0.0,0,0.0,0,0.0,151,34.47,08030
8,31,312,202,64.74,3,0.96,0,0.0,0,0.0,0,0.0,107,34.29,08031
8,32,309,192,62.14,1,0.32,0,0.0,0,0.0,0,0.0,116,37.54,08032
8,33,392,267,68.11,4,1.02,0,0.0,0,0.0,0,0.0,121,30.87,08033
8,34,348,246,70.69,0,0.0,1,0.29,0,0.0,0,0.0,101,29.02,08034
8,35,418,268,64.11,8,1.91,1,0.24,0,0.0,0,0.0,141,33.73,08035
8,36,404,265,65.59,6,1.49,0,0.0,0,0.0,0,0.0,133,32.92,08036
8,37,327,223,68.2,0,0.0,0,0.0,0,0.0,0,0.0,104,31.8,08037
8,38,262,204,77.86,1,0.38,0,0.0,0,0.0,0,0.0,57,21.76,08038
8,39,407,256,62.9,3,0.74,0,0.0,0,0.0,1,0.25,147,36.12,08039
8,40,319,211,66.14,3,0.94,0,0.0,0,0.0,0,0.0,105,32.92,08040
8,41,383,273,71.28,3,0.78,0,0.0,1,0.26,0,0.0,106,27.68,08041
8,42,481,319,66.32,4,0.83,1,0.21,0,0.0,0,0.0,157,32.64,08042
8,43,214,145,67.76,2,0.93,0,0.0,1,0.47,0,0.0,66,30.84,08043
8,44,265,186,70.19,1,0.38,0,0.0,0,0.0,0,0.0,78,29.43,08044
8,45,428,287,67.06,8,1.87,0,0.0,0,0.0,1,0.23,132,30.84,08045
8,46,297,191,64.31,3,1.01,0,0.0,0,0.0,0,0.0,103,34.68,08046
8,47,326,236,72.39,3,0.92,0,0.0,0,0.0,0,0.0,87,26.69,08047
8,48,382,235,61.52,4,1.05,0,0.0,0,0.0,0,0.0,143,37.43,08048
8,49,348,224,64.37,6,1.72,0,0.0,0,0.0,0,0.0,118,33.91,08049
8,50,402,267,66.42,4,1.0,0,0.0,0,0.0,0,0.0,131,32.59,08050
8,51,418,267,63.88,6,1.44,0,0.0,0,0.0,1,0.24,144,34.45,08051
8,52,490,352,71.84,3,0.61,1,0.2,0,0.0,0,0.0,134,27.35,08052
8,53,220,152,69.09,1,0.45,0,0.0,0,0.0,0,0.0,67,30.45,08053
8,54,356,243,68.26,2,0.56,0,0.0,0,0.0,1,0.28,110,30.9,08054
8,55,305,232,76.07,1,0.33,0,0.0,1,0.33,0,0.0,71,23.28,08055
8,56,396,276,69.7,4,1.01,0,0.0,0,0.0,0,0.0,116,29.29,08056
9,1,407,274,67.32,0,0.0,0,0.0,0,0.0,0,0.0,133,32.68,09001
9,2,340,235,69.12,4,1.18,0,0.0,0,0.0,0,0.0,101,29.71,09002
9,3,354,244,68.93,1,0.28,1,0.28,0,0.0,0,0.0,108,30.51,09003
9,4,327,213,65.14,4,1.22,0,0.0,0,0.0,0,0.0,110,33.64,09004
9,5,345,240,69.57,4,1.16,0,0.0,0,0.0,0,0.0,101,29.28,09005
9,6,364,241,66.21,2,0.55,0,0.0,1,0.27,0,0.0,120,32.97,09006
9,7,282,206,73.05,3,1.06,0,0.0,0,0.0,0,0.0,73,25.89,09007
9,8,382,214,56.02,2,0.52,1,0.26,0,0.0,0,0.0,165,43.19,09008
9,9,412,303,73.54,3,0.73,0,0.0,0,0.0,0,0.0,106,25.73,09009
9,10,326,235,72.09,1,0.31,1,0.31,0,0.0,0,0.0,89,27.3,09010
9,11,283,204,72.08,2,0.71,1,0.35,0,0.0,0,0.0,76,26.86,09011
9,12,385,257,66.75,5,1.3,1,0.26,0,0.0,0,0.0,122,31.69,09012
9,13,398,269,67.59,10,2.51,0,0.0,0,0.0,0,0.0,119,29.9,09013
9,14,464,328,70.69,5,1.08,0,0.0,0,0.0,0,0.0,131,28.23,09014
9,15,414,279,67.39,3,0.72,0,0.0,0,0.0,0,0.0,132,31.88,09015
9,16,342,230,67.25,4,1.17,0,0.0,0,0.0,0,0.0,108,31.58,09016
9,17,325,221,68.0,7,2.15,0,0.0,0,0.0,0,0.0,97,29.85,09017
9,18,284,185,65.14,5,1.76,0,0.0,0,0.0,1,0.35,93,32.75,09018
9,19,390,260,66.67,4,1.03,1,0.26,0,0.0,0,0.0,125,32.05,09019
9,20,423,280,66.19,7,1.65,0,0.0,0,0.0,1,0.24,135,31.91,09020
9,21,319,221,69.28,4,1.25,0,0.0,0,0.0,0,0.0,94,29.47,09021
9,22,401,254,63.34,0,0.0,0,0.0,0,0.0,0,0.0,147,36.66,09022
9,23,410,262,63.9,5,1.22,0,0.0,0,0.0,0,0.0,143,34.88,09023
9,24,386,265,68.65,1,0.26,0,0.0,0,0.0,0,0.0,120,31.09,09024
9,25,358,232,64.8,2,0.56,0,0.0,0,0.0,0,0.0,124,34.64,09025
9,26,380,250,65.79,2,0.53,0,0.0,0,0.0,0,0.0,128,33.68,09026
9,27,362,246,67.96,4,1.1,0,0.0,0,0.0,0,0.0,112,30.94,09027
9,28,249,152,61.04,2,0.8,0,0.0,0,0.0,1,0.4,94,37.75,09028
9,29,349,248,71.06,5,1.43,2,0.57,2,0.57,0,0.0,92,26.36,09029
9,30,335,251,74.93,0,0.0,0,0.0,0,0.0,0,0.0,84,25.07,09030
9,31,308,204,66.23,2,0.65,1,0.32,0,0.0,1,0.32,100,32.47,09031
9,32,338,241,71.3,2,0.59,1,0.3,0,0.0,0,0.0,94,27.81,09032
9,33,303,228,75.25,3,0.99,1,0.33,0,0.0,0,0.0,71,23.43,09033
9,34,325,226,69.54,2,0.62,0,0.0,1,0.31,0,0.0,96,29.54,09034
9,35,355,219,61.69,5,1.41,0,0.0,0,0.0,1,0.28,130,36.62,09035
9,36,339,225,66.37,4,1.18,0,0.0,0,0.0,0,0.0,110,32.45,09036
9,37,418,195,46.65,1,0.24,2,0.48,0,0.0,0,0.0,220,52.63,09037
9,38,368,260,70.65,1,0.27,0,0.0,0,0.0,0,0.0,107,29.08,09038
9,39,375,251,66.93,3,0.8,0,0.0,0,0.0,0,0.0,121,32.27,09039
9,40,414,284,68.6,8,1.93,0,0.0,0,0.0,0,0.0,122,29.47,09040
9,41,313,205,65.5,2,0.64,0,0.0,0,0.0,2,0.64,104,33.23,09041
9,42,384,242,63.02,1,0.26,1,0.26,0,0.0,1,0.26,139,36.2,09042
9,43,371,252,67.92,2,0.54,0,0.0,0,0.0,0,0.0,117,31.54,09043
9,44,330,227,68.79,2,0.61,1,0.3,0,0.0,1,0.3,99,30.0,09044
9,45,304,207,68.09,0,0.0,0,0.0,0,0.0,0,0.0,97,31.91,09045
9,46,376,241,64.1,3,0.8,0,0.0,0,0.0,0,0.0,132,35.11,09046
9,47,400,249,62.25,2,0.5,1,0.25,0,0.0,0,0.0,148,37.0,09047
9,48,395,259,65.57,3,0.76,0,0.0,0,0.0,1,0.25,132,33.42,09048
9,49,409,267,65.28,0,0.0,0,0.0,0,0.0,0,0.0,142,34.72,09049
9,50,495,311,62.83,1,0.2,0,0.0,0,0.0,0,0.0,183,36.97,09050
9,51,365,235,64.38,4,1.1,1,0.27,0,0.0,0,0.0,125,34.25,09051
10,1,350,221,63.14,1,0.29,1,0.29,1,0.29,0,0.0,126,36.0,10001
10,2,236,114,48.31,2,0.85,2,0.85,0,0.0,1,0.42,117,49.58,10002
10,3,266,131,49.25,1,0.38,4,1.5,2,0.75,0,0.0,128,48.12,10003
10,4,320,172,53.75,3,0.94,2,0.63,0,0.0,0,0.0,143,44.69,10004
10,5,221,117,52.94,4,1.81,0,0.0,0,0.0,0,0.0,100,45.25,10005
10,6,289,157,54.33,0,0.0,0,0.0,1,0.35,1,0.35,130,44.98,10006
10,7,236,111,47.03,6,2.54,0,0.0,1,0.42,0,0.0,118,50.0,10007
10,8,288,155,53.82,0,0.0,1,0.35,1,0.35,1,0.35,130,45.14,10008
10,9,254,114,44.88,0,0.0,2,0.79,0,0.0,1,0.39,137,53.94,10009
10,10,336,126,37.5,0,0.0,0,0.0,1,0.3,0,0.0,209,62.2,10010
10,11,393,162,41.22,3,0.76,1,0.25,0,0.0,0,0.0,227,57.76,10011
10,12,223,87,39.01,0,0.0,0,0.0,0,0.0,0,0.0,136,60.99,10012
10,13,380,235,61.84,2,0.53,0,0.0,0,0.0,0,0.0,143,37.63,10013
10,14,396,197,49.75,0,0.0,1,0.25,0,0.0,0,0.0,198,50.0,10014
10,15,696,492,70.69,5,0.72,2,0.29,0,0.0,0,0.0,197,28.3,10015
10,16,240,120,50.0,1,0.42,0,0.0,1,0.42,0,0.0,118,49.17,10016
10,17,330,150,45.45,1,0.3,2,0.61,2,0.61,1,0.3,174,52.73,10017
10,18,234,123,52.56,2,0.85,0,0.0,0,0.0,0,0.0,109,46.58,10018
10,19,294,115,39.12,0,0.0,1,0.34,0,0.0,1,0.34,177,60.2,10019
10,20,337,144,42.73,1,0.3,2,0.59,1,0.3,0,0.0,189,56.08,10020
10,21,355,146,41.13,1,0.28,1,0.28,1,0.28,2,0.56,204,57.46,10021
10,22,206,81,39.32,0,0.0,1,0.49,0,0.0,0,0.0,124,60.19,10022
10,23,328,134,40.85,0,0.0,2,0.61,1,0.3,0,0.0,191,58.23,10023
10,24,250,93,37.2,1,0.4,2,0.8,0,0.0,1,0.4,153,61.2,10024
10,25,115,68,59.13,1,0.87,0,0.0,0,0.0,0,0.0,46,40.0,10025
10,26,278,138,49.64,1,0.36,0,0.0,0,0.0,0,0.0,139,50.0,10026
10,27,338,218,64.5,2,0.59,1,0.3,0,0.0,0,0.0,117,34.62,10027
10,28,378,145,38.36,1,0.26,2,0.53,0,0.0,0,0.0,230,60.85,10028
10,29,307,133,43.32,1,0.33,0,0.0,0,0.0,1,0.33,172,56.03,10029
10,30,343,166,48.4,2,0.58,0,0.0,1,0.29,0,0.0,174,50.73,10030
10,31,252,122,48.41,0,0.0,0,0.0,0,0.0,0,0.0,130,51.59,10031
10,32,319,137,42.95,0,0.0,1,0.31,0,0.0,0,0.0,181,56.74,10032
10,33,235,103,43.83,0,0.0,0,0.0,1,0.43,0,0.0,131,55.74,10033
10,34,244,132,54.1,0,0.0,1,0.41,1,0.41,0,0.0,110,45.08,10034
10,35,312,128,41.03,3,0.96,4,1.28,0,0.0,0,0.0,177,56.73,10035
10,36,84,57,67.86,0,0.0,0,0.0,0,0.0,0,0.0,27,32.14,10036
11,1,363,167,46.01,0,0.0,2,0.55,1,0.28,1,0.28,192,52.89,11001
11,2,59,49,83.05,2,3.39,1,1.69,0,0.0,1,1.69,6,10.17,11002
11,3,363,103,28.37,0,0.0,0,0.0,1,0.28,1,0.28,258,71.07,11003
11,4,350,159,45.43,7,2.0,4,1.14,1,0.29,1,0.29,178,50.86,11004
11,5,497,168,33.8,3,0.6,2,0.4,0,0.0,1,0.2,323,64.99,11005
11,6,420,183,43.57,2,0.48,0,0.0,0,0.0,0,0.0,235,55.95,11006
11,7,653,150,22.97,3,0.46,0,0.0,0,0.0,1,0.15,499,76.42,11007
11,8,365,141,38.63,6,1.64,2,0.55,1,0.27,0,0.0,215,58.9,11008
11,9,339,150,44.25,1,0.29,1,0.29,0,0.0,0,0.0,187,55.16,11009
11,10,343,167,48.69,3,0.87,2,0.58,1,0.29,1,0.29,169,49.27,11010
11,11,344,143,41.57,5,1.45,1,0.29,0,0.0,0,0.0,195,56.69,11011
11,12,457,207,45.3,4,0.88,10,2.19,3,0.66,1,0.22,232,50.77,11012
11,13,398,181,45.48,8,2.01,7,1.76,0,0.0,1,0.25,201,50.5,11013
11,14,199,112,56.28,0,0.0,2,1.01,1,0.5,0,0.0,84,42.21,11014
11,15,167,84,50.3,0,0.0,3,1.8,0,0.0,0,0.0,80,47.9,11015
11,16,265,120,45.28,3,1.13,3,1.13,2,0.75,1,0.38,136,51.32,11016
11,17,430,151,35.12,3,0.7,1,0.23,0,0.0,0,0.0,275,63.95,11017
11,18,319,159,49.84,4,1.25,1,0.31,2,0.63,1,0.31,152,47.65,11018
11,19,479,164,34.24,1,0.21,1,0.21,0,0.0,0,0.0,313,65.34,11019
11,20,249,135,54.22,1,0.4,2,0.8,1,0.4,2,0.8,108,43.37,11020
11,21,468,233,49.79,4,0.85,11,2.35,2,0.43,0,0.0,218,46.58,11021
11,22,460,206,44.78,0,0.0,3,0.65,0,0.0,0,0.0,251,54.57,11022
11,23,232,126,54.31,2,0.86,1,0.43,0,0.0,1,0.43,102,43.97,11023
11,24,447,223,49.89,4,0.89,11,2.46,2,0.45,0,0.0,207,46.31,11024
11,25,393,178,45.29,0,0.0,5,1.27,4,1.02,1,0.25,205,52.16,11025
11,26,436,197,45.18,0,0.0,2,0.46,1,0.23,1,0.23,235,53.9,11026
11,27,156,80,51.28,0,0.0,0,0.0,0,0.0,0,0.0,76,48.72,11027
11,28,178,75,42.13,1,0.56,0,0.0,0,0.0,1,0.56,101,56.74,11028
11,29,386,201,52.07,2,0.52,7,1.81,0,0.0,1,0.26,175,45.34,11029
11,30,206,117,56.8,1,0.49,3,1.46,2,0.97,1,0.49,82,39.81,11030
11,31,313,138,44.09,2,0.64,3,0.96,1,0.32,1,0.32,168,53.67,11031
11,32,163,68,41.72,2,1.23,2,1.23,2,1.23,0,0.0,89,54.6,11032
11,33,336,164,48.81,1,0.3,1,0.3,0,0.0,1,0.3,169,50.3,11033
11,34,125,77,61.6,1,0.8,1,0.8,0,0.0,0,0.0,46,36.8,11034
11,35,120,84,70.0,2,1.67,1,0.83,0,0.0,0,0.0,33,27.5,11035
11,36,155,87,56.13,1,0.65,0,0.0,0,0.0,0,0.0,67,43.23,11036
11,37,134,68,50.75,2,1.49,0,0.0,0,0.0,2,1.49,62,46.27,11037
11,38,205,66,32.2,0,0.0,1,0.49,0,0.0,0,0.0,138,67.32,11038
12,1,378,156,41.27,2,0.53,2,0.53,0,0.0,2,0.53,216,57.14,12001
12,2,335,139,41.49,1,0.3,1,0.3,1,0.3,0,0.0,193,57.61,12002
12,3,432,150,34.72,4,0.93,2,0.46,0,0.0,0,0.0,276,63.89,12003
12,4,407,163,40.05,1,0.25,3,0.74,0,0.0,2,0.49,238,58.48,12004
12,5,338,142,42.01,2,0.59,1,0.3,0,0.0,1,0.3,192,56.8,12005
12,6,356,171,48.03,1,0.28,1,0.28,1,0.28,0,0.0,182,51.12,12006
12,7,354,115,32.49,1,0.28,0,0.0,1,0.28,0,0.0,237,66.95,12007
12,8,421,214,50.83,3,0.71,4,0.95,1,0.24,1,0.24,198,47.03,12008
12,9,318,141,44.34,6,1.89,0,0.0,1,0.31,0,0.0,170,53.46,12009
12,10,444,165,37.16,2,0.45,1,0.23,0,0.0,1,0.23,275,61.94,12010
12,11,380,180,47.37,1,0.26,0,0.0,0,0.0,0,0.0,199,52.37,12011
12,12,375,181,48.27,0,0.0,3,0.8,1,0.27,0,0.0,190,50.67,12012
12,13,385,175,45.45,1,0.26,1,0.26,0,0.0,0,0.0,208,54.03,12013
12,14,343,136,39.65,3,0.87,0,0.0,1,0.29,0,0.0,203,59.18,12014
12,15,312,157,50.32,3,0.96,3,0.96,2,0.64,0,0.0,147,47.12,12015
12,16,367,161,43.87,1,0.27,2,0.54,0,0.0,0,0.0,203,55.31,12016
12,17,395,167,42.28,3,0.76,3,0.76,0,0.0,2,0.51,220,55.7,12017
12,18,327,129,39.45,1,0.31,1,0.31,1,0.31,0,0.0,195,59.63,12018
12,19,379,165,43.54,2,0.53,3,0.79,0,0.0,1,0.26,208,54.88,12019
12,20,438,206,47.03,0,0.0,2,0.46,1,0.23,0,0.0,229,52.28,12020
12,21,385,149,38.7,1,0.26,0,0.0,2,0.52,0,0.0,233,60.52,12021
12,22,399,144,36.09,0,0.0,0,0.0,0,0.0,2,0.5,253,63.41,12022
12,23,370,160,43.24,0,0.0,0,0.0,0,0.0,0,0.0,210,56.76,12023
13,1,271,128,47.23,1,0.37,5,1.85,0,0.0,3,1.11,134,49.45,13001
13,2,273,122,44.69,0,0.0,4,1.47,0,0.0,1,0.37,146,53.48,13002
13,3,271,116,42.8,0,0.0,0,0.0,0,0.0,0,0.0,155,57.2,13003
13,4,297,156,52.53,1,0.34,6,2.02,0,0.0,0,0.0,134,45.12,13004
13,5,401,180,44.89,1,0.25,2,0.5,1,0.25,1,0.25,216,53.87,13005
13,6,295,132,44.75,3,1.02,4,1.36,1,0.34,2,0.68,153,51.86,13006
13,7,288,160,55.56,1,0.35,2,0.69,0,0.0,0,0.0,125,43.4,13007
13,8,227,99,43.61,1,0.44,9,3.96,2,0.88,0,0.0,116,51.1,13008
13,9,324,144,44.44,2,0.62,1,0.31,1,0.31,1,0.31,175,54.01,13009
13,10,230,92,40.0,2,0.87,8,3.48,0,0.0,2,0.87,126,54.78,13010
13,11,327,166,50.76,1,0.31,4,1.22,0,0.0,0,0.0,156,47.71,13011
13,12,305,130,42.62,0,0.0,4,1.31,0,0.0,0,0.0,171,56.07,13012
13,13,361,199,55.12,0,0.0,2,0.55,1,0.28,0,0.0,159,44.04,13013
13,14,322,146,45.34,1,0.31,8,2.48,0,0.0,0,0.0,167,51.86,13014
13,15,551,258,46.82,3,0.54,10,1.81,0,0.0,0,0.0,280,50.82,13015
13,16,271,128,47.23,0,0.0,1,0.37,0,0.0,0,0.0,142,52.4,13016
13,17,283,136,48.06,4,1.41,5,1.77,1,0.35,0,0.0,137,48.41,13017
13,18,224,101,45.09,1,0.45,5,2.23,1,0.45,0,0.0,116,51.79,13018
13,19,464,217,46.77,1,0.22,2,0.43,1,0.22,0,0.0,243,52.37,13019
13,20,172,67,38.95,0,0.0,3,1.74,1,0.58,0,0.0,101,58.72,13020
13,21,316,138,43.67,2,0.63,5,1.58,1,0.32,1,0.32,169,53.48,13021
13,22,313,140,44.73,2,0.64,4,1.28,1,0.32,1,0.32,165,52.72,13022
13,23,272,107,39.34,1,0.37,1,0.37,0,0.0,0,0.0,163,59.93,13023
13,24,304,150,49.34,2,0.66,3,0.99,0,0.0,1,0.33,148,48.68,13024
13,25,344,144,41.86,1,0.29,3,0.87,0,0.0,0,0.0,196,56.98,13025
13,26,365,191,52.33,0,0.0,8,2.19,0,0.0,0,0.0,166,45.48,13026
13,27,323,141,43.65,2,0.62,5,1.55,0,0.0,1,0.31,174,53.87,13027
13,28,288,128,44.44,1,0.35,6,2.08,2,0.69,0,0.0,151,52.43,13028
13,29,268,120,44.78,1,0.37,3,1.12,0,0.0,1,0.37,143,53.36,13029
13,30,266,151,56.77,1,0.38,1,0.38,0,0.0,0,0.0,113,42.48,13030
13,31,309,149,48.22,2,0.65,6,1.94,2,0.65,0,0.0,150,48.54,13031
13,32,258,114,44.19,4,1.55,3,1.16,0,0.0,0,0.0,137,53.1,13032
13,33,262,112,42.75,2,0.76,4,1.53,0,0.0,1,0.38,143,54.58,13033
13,34,441,236,53.51,2,0.45,3,0.68,2,0.45,4,0.91,194,43.99,13034
13,35,292,155,53.08,2,0.68,0,0.0,0,0.0,0,0.0,135,46.23,13035
13,36,196,91,46.43,0,0.0,2,1.02,1,0.51,2,1.02,100,51.02,13036
13,37,372,227,61.02,4,1.08,1,0.27,0,0.0,1,0.27,139,37.37,13037
13,38,224,97,43.3,3,1.34,6,2.68,0,0.0,0,0.0,118,52.68,13038
13,39,340,188,55.29,0,0.0,1,0.29,0,0.0,0,0.0,151,44.41,13039
13,40,276,135,48.91,2,0.72,1,0.36,0,0.0,0,0.0,138,50.0,13040
13,41,354,174,49.15,2,0.56,1,0.28,0,0.0,0,0.0,177,50.0,13041
13,42,269,103,38.29,0,0.0,10,3.72,0,0.0,2,0.74,154,57.25,13042
13,43,347,165,47.55,1,0.29,3,0.86,1,0.29,0,0.0,177,51.01,13043
13,44,475,271,57.05,1,0.21,2,0.42,1,0.21,0,0.0,200,42.11,13044
13,45,411,179,43.55,5,1.22,8,1.95,1,0.24,1,0.24,217,52.8,13045
13,46,416,186,44.71,3,0.72,1,0.24,0,0.0,0,0.0,226,54.33,13046
13,47,367,197,53.68,1,0.27,2,0.54,0,0.0,1,0.27,166,45.23,13047
13,48,274,132,48.18,6,2.19,10,3.65,0,0.0,1,0.36,125,45.62,13048
14,1,312,127,40.71,1,0.32,4,1.28,2,0.64,2,0.64,176,56.41,14001
14,2,456,198,43.42,0,0.0,3,0.66,0,0.0,0,0.0,255,55.92,14002
14,3,414,172,41.55,2,0.48,0,0.0,0,0.0,0,0.0,240,57.97,14003
14,4,241,93,38.59,1,0.41,4,1.66,1,0.41,0,0.0,142,58.92,14004
14,5,511,224,43.84,2,0.39,2,0.39,0,0.0,2,0.39,281,54.99,14005
14,6,181,82,45.3,1,0.55,2,1.1,0,0.0,0,0.0,96,53.04,14006
14,7,378,140,37.04,1,0.26,3,0.79,0,0.0,0,0.0,234,61.9,14007
14,8,379,137,36.15,1,0.26,0,0.0,1,0.26,0,0.0,240,63.32,14008
14,9,350,131,37.43,2,0.57,3,0.86,1,0.29,1,0.29,212,60.57,14009
14,10,244,101,41.39,2,0.82,0,0.0,0,0.0,0,0.0,141,57.79,14010
14,11,225,96,42.67,3,1.33,2,0.89,1,0.44,0,0.0,123,54.67,14011
14,12,320,143,44.69,1,0.31,0,0.0,0,0.0,0,0.0,176,55.0,14012
14,13,287,129,44.95,0,0.0,0,0.0,0,0.0,0,0.0,158,55.05,14013
14,14,352,150,42.61,0,0.0,0,0.0,0,0.0,0,0.0,202,57.39,14014
14,15,430,192,44.65,1,0.23,3,0.7,1,0.23,1,0.23,232,53.95,14015
14,16,262,112,42.75,0,0.0,0,0.0,0,0.0,0,0.0,150,57.25,14016
14,17,307,138,44.95,0,0.0,1,0.33,1,0.33,0,0.0,167,54.4,14017
14,18,136,51,37.5,2,1.47,2,1.47,0,0.0,0,0.0,81,59.56,14018
14,19,366,148,40.44,0,0.0,0,0.0,0,0.0,0,0.0,218,59.56,14019
14,20,251,99,39.44,1,0.4,0,0.0,3,1.2,1,0.4,147,58.57,14020
14,21,335,120,35.82,1,0.3,2,0.6,1,0.3,0,0.0,211,62.99,14021
14,22,392,175,44.64,2,0.51,1,0.26,1,0.26,0,0.0,213,54.34,14022
14,23,234,102,43.59,4,1.71,1,0.43,0,0.0,0,0.0,127,54.27,14023
14,24,319,124,38.87,2,0.63,4,1.25,0,0.0,2,0.63,187,58.62,14024
14,25,221,96,43.44,0,0.0,1,0.45,0,0.0,0,0.0,124,56.11,14025
14,26,261,120,45.98,2,0.77,0,0.0,0,0.0,0,0.0,139,53.26,14026
14,27,332,146,43.98,1,0.3,3,0.9,2,0.6,0,0.0,180,54.22,14027
14,28,239,113,47.28,1,0.42,0,0.0,1,0.42,0,0.0,124,51.88,14028
14,29,314,117,37.26,0,0.0,2,0.64,2,0.64,0,0.0,193,61.46,14029
14,30,207,95,45.89,1,0.48,0,0.0,0,0.0,0,0.0,111,53.62,14030
14,31,210,91,43.33,1,0.48,0,0.0,0,0.0,0,0.0,118,56.19,14031
15,1,330,156,47.27,0,0.0,1,0.3,2,0.61,0,0.0,171,51.82,15001
15,2,242,162,66.94,2,0.83,1,0.41,0,0.0,0,0.0,77,31.82,15002
15,3,239,165,69.04,0,0.0,1,0.42,0,0.0,0,0.0,73,30.54,15003
15,4,339,118,34.81,1,0.29,1,0.29,1,0.29,0,0.0,218,64.31,15004
15,5,343,149,43.44,3,0.87,0,0.0,1,0.29,0,0.0,190,55.39,15005
15,6,352,148,42.05,2,0.57,0,0.0,0,0.0,0,0.0,202,57.39,15006
15,7,301,196,65.12,3,1.0,2,0.66,0,0.0,0,0.0,100,33.22,15007
15,8,322,111,34.47,0,0.0,0,0.0,3,0.93,2,0.62,206,63.98,15008
15,9,430,178,41.4,2,0.47,0,0.0,1,0.23,0,0.0,249,57.91,15009
15,10,461,179,38.83,3,0.65,0,0.0,1,0.22,0,0.0,278,60.3,15010
15,11,413,180,43.58,0,0.0,2,0.48,1,0.24,2,0.48,228,55.21,15011
15,12,401,159,39.65,0,0.0,0,0.0,2,0.5,1,0.25,239,59.6,15012
15,13,327,153,46.79,1,0.31,0,0.0,0,0.0,0,0.0,173,52.91,15013
15,14,311,110,35.37,0,0.0,0,0.0,0,0.0,0,0.0,201,64.63,15014
15,15,358,169,47.21,1,0.28,0,0.0,1,0.28,1,0.28,186,51.96,15015
15,16,352,178,50.57,0,0.0,0,0.0,0,0.0,0,0.0,174,49.43,15016
15,17,261,189,72.41,1,0.38,0,0.0,0,0.0,0,0.0,71,27.2,15017
15,18,301,204,67.77,6,1.99,0,0.0,0,0.0,0,0.0,91,30.23,15018
15,19,281,144,51.25,4,1.42,0,0.0,0,0.0,0,0.0,133,47.33,15019
15,20,234,176,75.21,4,1.71,0,0.0,0,0.0,1,0.43,53,22.65,15020
15,21,274,197,71.9,1,0.36,0,0.0,1,0.36,0,0.0,75,27.37,15021
15,22,310,215,69.35,4,1.29,1,0.32,0,0.0,0,0.0,90,29.03,15022
15,23,311,218,70.1,0,0.0,0,0.0,0,0.0,0,0.0,93,29.9,15023
