ward,precinct,total,ROBERT SHAW,ROBERT SHAW Percent,precinct_id
21,75,179,179,100.0,21075
21,76,260,260,100.0,21076
22,2,90,90,100.0,22002
22,3,120,120,100.0,22003
22,4,140,140,100.0,22004
22,5,156,156,100.0,22005
22,6,128,128,100.0,22006
22,7,174,174,100.0,22007
22,12,94,94,100.0,22012
22,13,165,165,100.0,22013
22,14,112,112,100.0,22014
22,16,175,175,100.0,22016
22,17,133,133,100.0,22017
22,19,160,160,100.0,22019
22,20,164,164,100.0,22020
22,21,203,203,100.0,22021
22,23,89,89,100.0,22023
22,24,125,125,100.0,22024
22,27,143,143,100.0,22027
22,30,142,142,100.0,22030
23,1,235,235,100.0,23001
23,2,174,174,100.0,23002
23,3,234,234,100.0,23003
23,7,133,133,100.0,23007
23,11,272,272,100.0,23011
23,12,233,233,100.0,23012
23,13,311,311,100.0,23013
23,14,126,126,100.0,23014
23,15,271,271,100.0,23015
23,16,295,295,100.0,23016
23,17,319,319,100.0,23017
23,18,219,219,100.0,23018
23,19,240,240,100.0,23019
23,20,155,155,100.0,23020
23,21,222,222,100.0,23021
23,22,260,260,100.0,23022
23,23,246,246,100.0,23023
23,26,251,251,100.0,23026
23,27,242,242,100.0,23027
23,30,244,244,100.0,23030
23,36,337,337,100.0,23036
23,38,192,192,100.0,23038
23,39,225,225,100.0,23039
23,40,245,245,100.0,23040
23,43,280,280,100.0,23043
23,44,52,52,100.0,23044
23,46,262,262,100.0,23046
23,47,279,279,100.0,23047
23,49,314,314,100.0,23049
23,52,315,315,100.0,23052
23,55,162,162,100.0,23055
23,56,199,199,100.0,23056
24,1,177,177,100.0,24001
24,2,225,225,100.0,24002
24,3,186,186,100.0,24003
24,4,200,200,100.0,24004
24,5,187,187,100.0,24005
24,6,255,255,100.0,24006
24,7,192,192,100.0,24007
24,8,180,180,100.0,24008
24,9,229,229,100.0,24009
24,10,192,192,100.0,24010
24,11,138,138,100.0,24011
24,12,168,168,100.0,24012
24,13,168,168,100.0,24013
24,14,282,282,100.0,24014
24,15,186,186,100.0,24015
24,16,167,167,100.0,24016
24,17,217,217,100.0,24017
24,18,144,144,100.0,24018
24,19,159,159,100.0,24019
24,20,229,229,100.0,24020
24,21,150,150,100.0,24021
24,22,201,201,100.0,24022
24,23,207,207,100.0,24023
24,24,137,137,100.0,24024
24,25,120,120,100.0,24025
24,26,242,242,100.0,24026
24,27,128,128,100.0,24027
24,28,220,220,100.0,24028
24,29,240,240,100.0,24029
24,30,170,170,100.0,24030
24,31,197,197,100.0,24031
24,32,199,199,100.0,24032
24,33,146,146,100.0,24033
24,34,191,191,100.0,24034
24,35,123,123,100.0,24035
24,36,197,197,100.0,24036
24,37,216,216,100.0,24037
24,38,200,200,100.0,24038
24,39,222,222,100.0,24039
24,40,263,263,100.0,24040
24,41,182,182,100.0,24041
24,42,180,180,100.0,24042
24,43,253,253,100.0,24043
24,44,76,76,100.0,24044
24,45,186,186,100.0,24045
24,46,214,214,100.0,24046
24,47,165,165,100.0,24047
24,48,111,111,100.0,24048
24,49,272,272,100.0,24049
24,50,305,305,100.0,24050
24,51,263,263,100.0,24051
24,52,185,185,100.0,24052
24,53,56,56,100.0,24053
24,54,193,193,100.0,24054
24,55,107,107,100.0,24055
24,56,251,251,100.0,24056
24,58,222,222,100.0,24058
24,59,118,118,100.0,24059
25,3,74,74,100.0,25003
25,21,161,161,100.0,25021
25,25,194,194,100.0,25025
25,26,141,141,100.0,25026
25,27,167,167,100.0,25027
25,28,267,267,100.0,25028
26,28,18,18,100.0,26028
26,32,3,3,100.0,26032
26,35,2,2,100.0,26035
26,46,10,10,100.0,26046
27,1,92,92,100.0,27001
27,2,169,169,100.0,27002
27,3,195,195,100.0,27003
27,4,135,135,100.0,27004
27,5,42,42,100.0,27005
27,6,144,144,100.0,27006
27,7,156,156,100.0,27007
27,8,100,100,100.0,27008
27,9,310,310,100.0,27009
27,11,119,119,100.0,27011
27,12,84,84,100.0,27012
27,13,63,63,100.0,27013
27,14,86,86,100.0,27014
27,15,136,136,100.0,27015
27,16,53,53,100.0,27016
27,17,97,97,100.0,27017
27,18,2,2,100.0,27018
27,19,201,201,100.0,27019
27,20,238,238,100.0,27020
27,21,107,107,100.0,27021
27,22,173,173,100.0,27022
27,23,74,74,100.0,27023
27,24,179,179,100.0,27024
27,25,137,137,100.0,27025
27,26,170,170,100.0,27026
27,27,104,104,100.0,27027
27,28,107,107,100.0,27028
27,29,145,145,100.0,27029
27,30,133,133,100.0,27030
27,31,189,189,100.0,27031
27,33,168,168,100.0,27033
27,34,132,132,100.0,27034
27,36,176,176,100.0,27036
27,37,84,84,100.0,27037
27,39,97,97,100.0,27039
27,40,153,153,100.0,27040
27,43,159,159,100.0,27043
27,44,151,151,100.0,27044
27,45,169,169,100.0,27045
27,46,178,178,100.0,27046
27,47,170,170,100.0,27047
27,48,180,180,100.0,27048
27,49,152,152,100.0,27049
27,50,52,52,100.0,27050
27,51,98,98,100.0,27051
27,52,48,48,100.0,27052
27,54,210,210,100.0,27054
27,57,114,114,100.0,27057
27,58,147,147,100.0,27058
27,60,53,53,100.0,27060
27,61,41,41,100.0,27061
27,62,157,157,100.0,27062
27,63,190,190,100.0,27063
27,64,158,158,100.0,27064
28,1,193,193,100.0,28001
28,2,120,120,100.0,28002
28,3,107,107,100.0,28003
28,4,138,138,100.0,28004
28,5,53,53,100.0,28005
28,6,139,139,100.0,28006
28,7,204,204,100.0,28007
28,8,112,112,100.0,28008
28,9,126,126,100.0,28009
28,10,50,50,100.0,28010
28,11,108,108,100.0,28011
28,12,85,85,100.0,28012
28,13,75,75,100.0,28013
28,14,141,141,100.0,28014
28,15,115,115,100.0,28015
28,16,159,159,100.0,28016
28,17,158,158,100.0,28017
28,18,230,230,100.0,28018
28,19,210,210,100.0,28019
28,20,177,177,100.0,28020
28,21,208,208,100.0,28021
28,22,177,177,100.0,28022
28,23,227,227,100.0,28023
28,24,126,126,100.0,28024
28,25,134,134,100.0,28025
28,26,188,188,100.0,28026
28,27,122,122,100.0,28027
28,28,146,146,100.0,28028
28,30,123,123,100.0,28030
28,31,127,127,100.0,28031
28,32,157,157,100.0,28032
28,33,147,147,100.0,28033
28,35,139,139,100.0,28035
28,36,176,176,100.0,28036
28,37,213,213,100.0,28037
28,39,93,93,100.0,28039
28,40,190,190,100.0,28040
28,41,87,87,100.0,28041
28,42,124,124,100.0,28042
28,43,123,123,100.0,28043
28,44,113,113,100.0,28044
28,45,135,135,100.0,28045
28,46,141,141,100.0,28046
28,47,137,137,100.0,28047
28,48,105,105,100.0,28048
28,49,109,109,100.0,28049
28,50,103,103,100.0,28050
28,51,198,198,100.0,28051
28,52,183,183,100.0,28052
28,53,80,80,100.0,28053
28,54,162,162,100.0,28054
28,55,145,145,100.0,28055
28,56,164,164,100.0,28056
28,57,132,132,100.0,28057
28,58,120,120,100.0,28058
28,59,135,135,100.0,28059
28,60,147,147,100.0,28060
28,61,94,94,100.0,28061
28,62,172,172,100.0,28062
28,63,188,188,100.0,28063
28,64,130,130,100.0,28064
28,65,186,186,100.0,28065
28,66,157,157,100.0,28066
28,67,99,99,100.0,28067
28,68,178,178,100.0,28068
28,70,111,111,100.0,28070
28,71,160,160,100.0,28071
28,72,106,106,100.0,28072
28,73,77,77,100.0,28073
28,74,129,129,100.0,28074
28,75,109,109,100.0,28075
28,76,120,120,100.0,28076
29,1,251,251,100.0,29001
29,3,291,291,100.0,29003
29,4,203,203,100.0,29004
29,5,259,259,100.0,29005
29,6,97,97,100.0,29006
29,7,102,102,100.0,29007
29,8,181,181,100.0,29008
29,10,243,243,100.0,29010
29,11,335,335,100.0,29011
29,12,280,280,100.0,29012
29,13,238,238,100.0,29013
29,14,292,292,100.0,29014
29,15,246,246,100.0,29015
29,16,304,304,100.0,29016
29,17,225,225,100.0,29017
29,18,225,225,100.0,29018
29,19,203,203,100.0,29019
29,20,225,225,100.0,29020
29,21,217,217,100.0,29021
29,22,180,180,100.0,29022
29,23,254,254,100.0,29023
29,25,279,279,100.0,29025
29,26,225,225,100.0,29026
29,27,175,175,100.0,29027
29,28,303,303,100.0,29028
29,29,288,288,100.0,29029
29,30,41,41,100.0,29030
29,31,242,242,100.0,29031
29,33,211,211,100.0,29033
29,34,169,169,100.0,29034
29,35,217,217,100.0,29035
29,36,254,254,100.0,29036
29,37,242,242,100.0,29037
29,38,211,211,100.0,29038
29,39,189,189,100.0,29039
29,40,395,395,100.0,29040
29,41,284,284,100.0,29041
29,42,275,275,100.0,29042
29,43,291,291,100.0,29043
29,44,257,257,100.0,29044
29,45,235,235,100.0,29045
29,46,244,244,100.0,29046
29,47,331,331,100.0,29047
29,48,221,221,100.0,29048
29,49,310,310,100.0,29049
29,50,200,200,100.0,29050
29,51,253,253,100.0,29051
29,52,180,180,100.0,29052
29,53,186,186,100.0,29053
30,17,227,227,100.0,30017
34,1,337,337,100.0,34001
34,2,219,219,100.0,34002
34,3,206,206,100.0,34003
34,4,226,226,100.0,34004
34,5,209,209,100.0,34005
34,6,180,180,100.0,34006
34,7,303,303,100.0,34007
34,8,274,274,100.0,34008
34,9,224,224,100.0,34009
34,10,310,310,100.0,34010
34,11,210,210,100.0,34011
34,12,238,238,100.0,34012
34,13,218,218,100.0,34013
34,14,193,193,100.0,34014
34,15,182,182,100.0,34015
34,16,193,193,100.0,34016
34,17,221,221,100.0,34017
34,18,189,189,100.0,34018
34,19,170,170,100.0,34019
34,20,291,291,100.0,34020
34,21,299,299,100.0,34021
34,22,272,272,100.0,34022
34,23,211,211,100.0,34023
34,24,231,231,100.0,34024
34,25,149,149,100.0,34025
34,26,201,201,100.0,34026
34,27,182,182,100.0,34027
34,28,155,155,100.0,34028
34,29,318,318,100.0,34029
34,30,301,301,100.0,34030
34,31,169,169,100.0,34031
34,32,282,282,100.0,34032
34,33,137,137,100.0,34033
34,34,231,231,100.0,34034
34,35,315,315,100.0,34035
34,36,232,232,100.0,34036
34,37,149,149,100.0,34037
34,38,169,169,100.0,34038
34,39,177,177,100.0,34039
34,40,286,286,100.0,34040
34,41,223,223,100.0,34041
34,42,259,259,100.0,34042
34,43,260,260,100.0,34043
34,44,314,314,100.0,34044
34,45,300,300,100.0,34045
34,46,175,175,100.0,34046
34,47,125,125,100.0,34047
34,48,248,248,100.0,34048
34,49,280,280,100.0,34049
34,50,211,211,100.0,34050
34,51,374,374,100.0,34051
34,52,221,221,100.0,34052
34,53,216,216,100.0,34053
34,54,193,193,100.0,34054
34,55,186,186,100.0,34055
34,56,211,211,100.0,34056
34,57,168,168,100.0,34057
34,58,199,199,100.0,34058
34,59,206,206,100.0,34059
34,60,173,173,100.0,34060
34,61,192,192,100.0,34061
34,62,299,299,100.0,34062
34,63,206,206,100.0,34063
34,64,61,61,100.0,34064
34,65,102,102,100.0,34065
34,66,242,242,100.0,34066
34,67,194,194,100.0,34067
34,68,137,137,100.0,34068
34,69,168,168,100.0,34069
34,70,240,240,100.0,34070
34,71,219,219,100.0,34071
34,72,193,193,100.0,34072
34,73,178,178,100.0,34073
37,2,140,140,100.0,37002
37,3,147,147,100.0,37003
37,4,106,106,100.0,37004
37,5,222,222,100.0,37005
37,6,228,228,100.0,37006
37,7,182,182,100.0,37007
37,8,177,177,100.0,37008
37,9,216,216,100.0,37009
37,10,237,237,100.0,37010
37,11,121,121,100.0,37011
37,12,155,155,100.0,37012
37,13,180,180,100.0,37013
37,14,204,204,100.0,37014
37,15,189,189,100.0,37015
37,16,252,252,100.0,37016
37,17,232,232,100.0,37017
37,18,207,207,100.0,37018
37,20,142,142,100.0,37020
37,21,187,187,100.0,37021
37,22,250,250,100.0,37022
37,23,188,188,100.0,37023
37,24,200,200,100.0,37024
37,25,239,239,100.0,37025
37,26,110,110,100.0,37026
37,27,150,150,100.0,37027
37,28,164,164,100.0,37028
37,29,203,203,100.0,37029
37,30,191,191,100.0,37030
37,31,215,215,100.0,37031
37,32,228,228,100.0,37032
37,33,175,175,100.0,37033
37,34,196,196,100.0,37034
37,35,105,105,100.0,37035
37,36,186,186,100.0,37036
37,37,177,177,100.0,37037
37,38,217,217,100.0,37038
37,39,92,92,100.0,37039
37,40,238,238,100.0,37040
37,41,200,200,100.0,37041
37,42,1,1,100.0,37042
37,43,131,131,100.0,37043
37,44,209,209,100.0,37044
37,45,123,123,100.0,37045
37,46,213,213,100.0,37046
37,47,39,39,100.0,37047
37,48,0,0,0.0,37048
37,49,187,187,100.0,37049
37,51,156,156,100.0,37051
37,52,129,129,100.0,37052
37,53,171,171,100.0,37053
37,54,230,230,100.0,37054
37,55,208,208,100.0,37055
37,56,134,134,100.0,37056
37,57,122,122,100.0,37057
37,58,196,196,100.0,37058
42,9,5,5,100.0,42009
42,12,144,144,100.0,42012
42,18,223,223,100.0,42018
42,21,137,137,100.0,42021
42,67,124,124,100.0,42067
42,69,274,274,100.0,42069
43,61,126,126,100.0,43061
43,63,127,127,100.0,43063
