ward,precinct,total,James T. Marter,James T. Marter Percent,Mark Steven Kirk,Mark Steven Kirk Percent,precinct_id
17,15,10,6,60.0,4,40.0,17015
17,16,10,5,50.0,5,50.0,17016
17,17,8,3,37.5,5,62.5,17017
17,18,2,0,0.0,2,100.0,17018
17,19,1,1,100.0,0,0.0,17019
17,20,4,1,25.0,3,75.0,17020
17,21,4,2,50.0,2,50.0,17021
17,22,2,1,50.0,1,50.0,17022
17,23,4,1,25.0,3,75.0,17023
17,24,0,0,0.0,0,0.0,17024
17,25,2,2,100.0,0,0.0,17025
17,26,4,2,50.0,2,50.0,17026
17,27,7,1,14.29,6,85.71,17027
17,28,4,2,50.0,2,50.0,17028
17,29,2,1,50.0,1,50.0,17029
17,30,26,7,26.92,19,73.08,17030
17,31,0,0,0.0,0,0.0,17031
17,32,1,0,0.0,1,100.0,17032
17,33,2,0,0.0,2,100.0,17033
17,34,1,0,0.0,1,100.0,17034
17,35,3,1,33.33,2,66.67,17035
17,36,2,1,50.0,1,50.0,17036
17,37,0,0,0.0,0,0.0,17037
17,38,3,2,66.67,1,33.33,17038
17,39,5,1,20.0,4,80.0,17039
17,40,1,0,0.0,1,100.0,17040
17,41,1,1,100.0,0,0.0,17041
18,1,6,3,50.0,3,50.0,18001
18,2,30,10,33.33,20,66.67,18002
18,3,46,9,19.57,37,80.43,18003
18,4,5,1,20.0,4,80.0,18004
18,5,0,0,0.0,0,0.0,18005
18,6,55,17,30.91,38,69.09,18006
18,7,13,8,61.54,5,38.46,18007
18,8,9,2,22.22,7,77.78,18008
18,9,10,5,50.0,5,50.0,18009
18,10,6,1,16.67,5,83.33,18010
18,11,19,5,26.32,14,73.68,18011
18,12,13,4,30.77,9,69.23,18012
18,13,5,4,80.0,1,20.0,18013
18,14,4,1,25.0,3,75.0,18014
18,15,21,7,33.33,14,66.67,18015
18,16,8,3,37.5,5,62.5,18016
18,17,15,4,26.67,11,73.33,18017
18,18,4,0,0.0,4,100.0,18018
18,19,6,2,33.33,4,66.67,18019
18,20,0,0,0.0,0,0.0,18020
18,21,9,3,33.33,6,66.67,18021
18,22,7,3,42.86,4,57.14,18022
18,23,10,5,50.0,5,50.0,18023
18,24,41,15,36.59,26,63.41,18024
18,25,34,13,38.24,21,61.76,18025
18,26,8,5,62.5,3,37.5,18026
18,27,8,0,0.0,8,100.0,18027
18,28,54,18,33.33,36,66.67,18028
18,29,30,10,33.33,20,66.67,18029
18,30,68,26,38.24,42,61.76,18030
18,31,7,3,42.86,4,57.14,18031
18,32,1,0,0.0,1,100.0,18032
18,33,1,0,0.0,1,100.0,18033
18,34,13,5,38.46,8,61.54,18034
18,35,5,1,20.0,4,80.0,18035
18,36,24,3,12.5,21,87.5,18036
18,37,8,5,62.5,3,37.5,18037
18,38,2,2,100.0,0,0.0,18038
18,39,3,1,33.33,2,66.67,18039
18,40,33,14,42.42,19,57.58,18040
18,41,6,3,50.0,3,50.0,18041
18,42,9,2,22.22,7,77.78,18042
18,43,35,13,37.14,22,62.86,18043
18,44,60,26,43.33,34,56.67,18044
18,45,17,6,35.29,11,64.71,18045
18,46,32,9,28.13,23,71.88,18046
18,47,4,2,50.0,2,50.0,18047
18,48,3,2,66.67,1,33.33,18048
18,49,8,3,37.5,5,62.5,18049
18,50,3,2,66.67,1,33.33,18050
19,1,65,17,26.15,48,73.85,19001
19,2,33,10,30.3,23,69.7,19002
19,3,109,36,33.03,73,66.97,19003
19,4,143,48,33.57,95,66.43,19004
19,5,53,23,43.4,30,56.6,19005
19,6,124,37,29.84,87,70.16,19006
19,7,66,19,28.79,47,71.21,19007
19,8,160,60,37.5,100,62.5,19008
19,9,78,19,24.36,59,75.64,19009
19,10,78,25,32.05,53,67.95,19010
19,11,123,42,34.15,81,65.85,19011
19,12,101,27,26.73,74,73.27,19012
19,13,12,6,50.0,6,50.0,19013
19,14,70,13,18.57,57,81.43,19014
19,15,164,51,31.1,113,68.9,19015
19,16,127,49,38.58,78,61.42,19016
19,17,79,31,39.24,48,60.76,19017
19,18,77,25,32.47,52,67.53,19018
19,19,75,30,40.0,45,60.0,19019
19,20,12,5,41.67,7,58.33,19020
19,21,142,46,32.39,96,67.61,19021
19,22,71,28,39.44,43,60.56,19022
19,23,83,20,24.1,63,75.9,19023
19,24,101,31,30.69,70,69.31,19024
19,25,77,22,28.57,55,71.43,19025
19,26,108,27,25.0,81,75.0,19026
19,27,30,15,50.0,15,50.0,19027
19,28,14,8,57.14,6,42.86,19028
19,29,148,45,30.41,103,69.59,19029
19,30,115,44,38.26,71,61.74,19030
19,31,58,20,34.48,38,65.52,19031
19,32,79,26,32.91,53,67.09,19032
19,33,139,47,33.81,92,66.19,19033
19,34,77,24,31.17,53,68.83,19034
19,35,60,20,33.33,40,66.67,19035
19,36,35,11,31.43,24,68.57,19036
19,37,27,6,22.22,21,77.78,19037
19,38,27,7,25.93,20,74.07,19038
19,39,4,2,50.0,2,50.0,19039
19,40,65,21,32.31,44,67.69,19040
19,41,121,38,31.4,83,68.6,19041
19,42,40,10,25.0,30,75.0,19042
19,43,5,2,40.0,3,60.0,19043
19,44,126,39,30.95,87,69.05,19044
19,45,115,40,34.78,75,65.22,19045
19,46,106,35,33.02,71,66.98,19046
19,47,41,18,43.9,23,56.1,19047
19,48,5,3,60.0,2,40.0,19048
19,49,29,8,27.59,21,72.41,19049
19,50,66,19,28.79,47,71.21,19050
19,51,84,25,29.76,59,70.24,19051
19,52,128,41,32.03,87,67.97,19052
19,53,70,20,28.57,50,71.43,19053
19,54,117,35,29.91,82,70.09,19054
19,55,114,37,32.46,77,67.54,19055
19,56,68,21,30.88,47,69.12,19056
19,57,31,10,32.26,21,67.74,19057
20,1,3,2,66.67,1,33.33,20001
20,2,1,1,100.0,0,0.0,20002
20,3,3,1,33.33,2,66.67,20003
20,4,5,3,60.0,2,40.0,20004
20,5,2,0,0.0,2,100.0,20005
20,6,1,1,100.0,0,0.0,20006
20,7,7,3,42.86,4,57.14,20007
20,8,1,0,0.0,1,100.0,20008
20,9,1,1,100.0,0,0.0,20009
20,10,4,1,25.0,3,75.0,20010
20,11,2,0,0.0,2,100.0,20011
20,12,1,1,100.0,0,0.0,20012
20,13,0,0,0.0,0,0.0,20013
20,14,2,0,0.0,2,100.0,20014
20,15,15,11,73.33,4,26.67,20015
20,16,14,6,42.86,8,57.14,20016
20,17,5,1,20.0,4,80.0,20017
20,18,3,1,33.33,2,66.67,20018
20,19,2,0,0.0,2,100.0,20019
20,20,13,8,61.54,5,38.46,20020
20,21,1,0,0.0,1,100.0,20021
20,22,4,1,25.0,3,75.0,20022
20,23,4,3,75.0,1,25.0,20023
20,24,13,6,46.15,7,53.85,20024
20,25,6,2,33.33,4,66.67,20025
20,26,9,5,55.56,4,44.44,20026
20,27,1,0,0.0,1,100.0,20027
20,28,3,1,33.33,2,66.67,20028
20,29,3,1,33.33,2,66.67,20029
20,30,1,0,0.0,1,100.0,20030
20,31,4,0,0.0,4,100.0,20031
20,32,2,1,50.0,1,50.0,20032
20,33,2,1,50.0,1,50.0,20033
20,34,23,3,13.04,20,86.96,20034
20,35,2,0,0.0,2,100.0,20035
20,36,1,0,0.0,1,100.0,20036
20,37,1,0,0.0,1,100.0,20037
20,38,1,0,0.0,1,100.0,20038
20,39,0,0,0.0,0,0.0,20039
21,1,2,1,50.0,1,50.0,21001
21,2,1,0,0.0,1,100.0,21002
21,3,1,0,0.0,1,100.0,21003
21,4,2,2,100.0,0,0.0,21004
21,5,4,1,25.0,3,75.0,21005
21,6,4,1,25.0,3,75.0,21006
21,7,1,0,0.0,1,100.0,21007
21,8,4,3,75.0,1,25.0,21008
21,9,1,0,0.0,1,100.0,21009
21,10,3,2,66.67,1,33.33,21010
21,11,1,1,100.0,0,0.0,21011
21,12,1,1,100.0,0,0.0,21012
21,13,2,1,50.0,1,50.0,21013
21,14,7,2,28.57,5,71.43,21014
21,15,1,0,0.0,1,100.0,21015
21,16,1,0,0.0,1,100.0,21016
21,17,3,2,66.67,1,33.33,21017
21,18,1,1,100.0,0,0.0,21018
21,19,1,1,100.0,0,0.0,21019
21,20,4,3,75.0,1,25.0,21020
21,21,0,0,0.0,0,0.0,21021
21,22,7,4,57.14,3,42.86,21022
21,23,1,1,100.0,0,0.0,21023
21,24,0,0,0.0,0,0.0,21024
21,25,0,0,0.0,0,0.0,21025
21,26,5,0,0.0,5,100.0,21026
21,27,6,2,33.33,4,66.67,21027
21,28,3,2,66.67,1,33.33,21028
21,29,2,1,50.0,1,50.0,21029
21,30,3,1,33.33,2,66.67,21030
21,31,1,0,0.0,1,100.0,21031
21,32,5,4,80.0,1,20.0,21032
21,33,2,1,50.0,1,50.0,21033
21,34,1,0,0.0,1,100.0,21034
21,35,5,1,20.0,4,80.0,21035
21,36,4,1,25.0,3,75.0,21036
21,37,1,0,0.0,1,100.0,21037
21,38,0,0,0.0,0,0.0,21038
21,39,2,0,0.0,2,100.0,21039
21,40,0,0,0.0,0,0.0,21040
21,41,4,4,100.0,0,0.0,21041
21,42,5,2,40.0,3,60.0,21042
21,43,1,1,100.0,0,0.0,21043
21,44,3,0,0.0,3,100.0,21044
21,45,4,3,75.0,1,25.0,21045
21,46,2,1,50.0,1,50.0,21046
21,47,1,0,0.0,1,100.0,21047
21,48,3,1,33.33,2,66.67,21048
21,49,2,0,0.0,2,100.0,21049
21,50,4,0,0.0,4,100.0,21050
21,51,0,0,0.0,0,0.0,21051
21,52,1,0,0.0,1,100.0,21052
21,53,4,3,75.0,1,25.0,21053
21,54,1,0,0.0,1,100.0,21054
22,1,1,0,0.0,1,100.0,22001
22,2,53,8,15.09,45,84.91,22002
22,3,19,7,36.84,12,63.16,22003
22,4,7,0,0.0,7,100.0,22004
22,5,7,5,71.43,2,28.57,22005
22,6,15,4,26.67,11,73.33,22006
22,7,18,8,44.44,10,55.56,22007
22,8,49,16,32.65,33,67.35,22008
22,9,8,4,50.0,4,50.0,22009
22,10,24,11,45.83,13,54.17,22010
22,11,13,5,38.46,8,61.54,22011
22,12,29,13,44.83,16,55.17,22012
22,13,21,7,33.33,14,66.67,22013
22,14,19,12,63.16,7,36.84,22014
22,15,8,4,50.0,4,50.0,22015
22,16,19,11,57.89,8,42.11,22016
22,17,15,5,33.33,10,66.67,22017
22,18,7,3,42.86,4,57.14,22018
22,19,4,1,25.0,3,75.0,22019
22,20,13,5,38.46,8,61.54,22020
22,21,2,2,100.0,0,0.0,22021
22,22,13,6,46.15,7,53.85,22022
22,23,0,0,0.0,0,0.0,22023
22,24,11,4,36.36,7,63.64,22024
22,25,12,5,41.67,7,58.33,22025
23,1,55,20,36.36,35,63.64,23001
23,2,74,20,27.03,54,72.97,23002
23,3,90,34,37.78,56,62.22,23003
23,4,51,11,21.57,40,78.43,23004
23,5,18,5,27.78,13,72.22,23005
23,6,26,9,34.62,17,65.38,23006
23,7,29,13,44.83,16,55.17,23007
23,8,43,12,27.91,31,72.09,23008
23,9,15,8,53.33,7,46.67,23009
23,10,19,9,47.37,10,52.63,23010
23,11,19,7,36.84,12,63.16,23011
23,12,80,24,30.0,56,70.0,23012
23,13,13,2,15.38,11,84.62,23013
23,14,63,20,31.75,43,68.25,23014
23,15,29,13,44.83,16,55.17,23015
23,16,84,19,22.62,65,77.38,23016
23,17,16,7,43.75,9,56.25,23017
23,18,62,16,25.81,46,74.19,23018
23,19,25,10,40.0,15,60.0,23019
23,20,18,7,38.89,11,61.11,23020
23,21,89,30,33.71,59,66.29,23021
23,22,41,12,29.27,29,70.73,23022
23,23,63,15,23.81,48,76.19,23023
23,24,29,9,31.03,20,68.97,23024
23,25,22,7,31.82,15,68.18,23025
23,26,32,7,21.88,25,78.13,23026
23,27,63,12,19.05,51,80.95,23027
23,28,74,21,28.38,53,71.62,23028
23,29,42,7,16.67,35,83.33,23029
23,30,18,6,33.33,12,66.67,23030
23,31,17,12,70.59,5,29.41,23031
23,32,31,12,38.71,19,61.29,23032
23,33,28,7,25.0,21,75.0,23033
23,34,12,2,16.67,10,83.33,23034
23,35,56,15,26.79,41,73.21,23035
23,36,75,24,32.0,51,68.0,23036
23,37,75,30,40.0,45,60.0,23037
23,38,53,18,33.96,35,66.04,23038
23,39,15,4,26.67,11,73.33,23039
24,1,2,1,50.0,1,50.0,24001
24,2,4,1,25.0,3,75.0,24002
24,3,3,2,66.67,1,33.33,24003
24,4,0,0,0.0,0,0.0,24004
24,5,1,1,100.0,0,0.0,24005
24,6,2,1,50.0,1,50.0,24006
24,7,3,0,0.0,3,100.0,24007
24,8,3,0,0.0,3,100.0,24008
24,9,7,3,42.86,4,57.14,24009
24,10,1,1,100.0,0,0.0,24010
24,11,2,0,0.0,2,100.0,24011
24,12,1,1,100.0,0,0.0,24012
24,13,2,1,50.0,1,50.0,24013
24,14,2,0,0.0,2,100.0,24014
24,15,2,1,50.0,1,50.0,24015
24,16,5,4,80.0,1,20.0,24016
24,17,1,0,0.0,1,100.0,24017
24,18,1,1,100.0,0,0.0,24018
24,19,1,1,100.0,0,0.0,24019
24,20,1,0,0.0,1,100.0,24020
24,21,1,0,0.0,1,100.0,24021
24,22,1,1,100.0,0,0.0,24022
24,23,8,2,25.0,6,75.0,24023
24,24,3,1,33.33,2,66.67,24024
24,25,7,1,14.29,6,85.71,24025
24,26,3,0,0.0,3,100.0,24026
24,27,0,0,0.0,0,0.0,24027
24,28,1,0,0.0,1,100.0,24028
24,29,3,1,33.33,2,66.67,24029
24,30,0,0,0.0,0,0.0,24030
24,31,6,2,33.33,4,66.67,24031
24,32,0,0,0.0,0,0.0,24032
24,33,3,1,33.33,2,66.67,24033
24,34,0,0,0.0,0,0.0,24034
24,35,2,0,0.0,2,100.0,24035
24,36,2,2,100.0,0,0.0,24036
24,37,1,1,100.0,0,0.0,24037
24,38,5,2,40.0,3,60.0,24038
24,39,14,4,28.57,10,71.43,24039
24,40,2,1,50.0,1,50.0,24040
24,41,0,0,0.0,0,0.0,24041
25,1,17,8,47.06,9,52.94,25001
25,2,10,2,20.0,8,80.0,25002
25,3,106,35,33.02,71,66.98,25003
25,4,15,4,26.67,11,73.33,25004
25,5,22,5,22.73,17,77.27,25005
25,6,13,4,30.77,9,69.23,25006
25,7,17,6,35.29,11,64.71,25007
25,8,19,4,21.05,15,78.95,25008
25,9,25,12,48.0,13,52.0,25009
25,10,110,18,16.36,92,83.64,25010
25,11,27,14,51.85,13,48.15,25011
25,12,20,10,50.0,10,50.0,25012
25,13,7,0,0.0,7,100.0,25013
25,14,21,11,52.38,10,47.62,25014
25,15,19,10,52.63,9,47.37,25015
25,16,112,15,13.39,97,86.61,25016
25,17,21,10,47.62,11,52.38,25017
25,18,22,10,45.45,12,54.55,25018
25,19,12,4,33.33,8,66.67,25019
25,20,2,0,0.0,2,100.0,25020
25,21,82,13,15.85,69,84.15,25021
25,22,13,7,53.85,6,46.15,25022
25,23,13,2,15.38,11,84.62,25023
25,24,15,6,40.0,9,60.0,25024
25,25,70,25,35.71,45,64.29,25025
25,26,15,6,40.0,9,60.0,25026
25,27,77,16,20.78,61,79.22,25027
25,28,17,7,41.18,10,58.82,25028
25,29,12,3,25.0,9,75.0,25029
25,30,17,5,29.41,12,70.59,25030
25,31,121,22,18.18,99,81.82,25031
25,32,23,6,26.09,17,73.91,25032
26,1,18,6,33.33,12,66.67,26001
26,2,15,5,33.33,10,66.67,26002
26,3,40,8,20.0,32,80.0,26003
26,4,7,2,28.57,5,71.43,26004
26,5,15,5,33.33,10,66.67,26005
26,6,22,9,40.91,13,59.09,26006
26,7,15,5,33.33,10,66.67,26007
26,8,6,1,16.67,5,83.33,26008
26,9,8,3,37.5,5,62.5,26009
26,10,17,6,35.29,11,64.71,26010
26,11,17,9,52.94,8,47.06,26011
26,12,19,5,26.32,14,73.68,26012
26,13,9,2,22.22,7,77.78,26013
26,14,11,4,36.36,7,63.64,26014
26,15,14,2,14.29,12,85.71,26015
26,16,10,6,60.0,4,40.0,26016
26,17,69,23,33.33,46,66.67,26017
26,18,14,3,21.43,11,78.57,26018
26,19,3,0,0.0,3,100.0,26019
26,20,15,5,33.33,10,66.67,26020
26,21,15,7,46.67,8,53.33,26021
26,22,11,5,45.45,6,54.55,26022
26,23,8,4,50.0,4,50.0,26023
26,24,10,5,50.0,5,50.0,26024
26,25,7,2,28.57,5,71.43,26025
26,26,10,3,30.0,7,70.0,26026
26,27,21,6,28.57,15,71.43,26027
26,28,45,10,22.22,35,77.78,26028
26,29,9,2,22.22,7,77.78,26029
26,30,9,3,33.33,6,66.67,26030
26,31,16,7,43.75,9,56.25,26031
26,32,42,11,26.19,31,73.81,26032
26,33,16,7,43.75,9,56.25,26033
26,34,16,1,6.25,15,93.75,26034
26,35,10,4,40.0,6,60.0,26035
26,36,20,5,25.0,15,75.0,26036
26,37,7,4,57.14,3,42.86,26037
26,38,5,3,60.0,2,40.0,26038
26,39,33,13,39.39,20,60.61,26039
26,40,10,3,30.0,7,70.0,26040
26,41,17,4,23.53,13,76.47,26041
26,42,13,4,30.77,9,69.23,26042
26,43,6,2,33.33,4,66.67,26043
26,44,2,0,0.0,2,100.0,26044
26,45,5,2,40.0,3,60.0,26045
26,46,35,13,37.14,22,62.86,26046
26,47,13,4,30.77,9,69.23,26047
26,48,16,2,12.5,14,87.5,26048
26,49,11,6,54.55,5,45.45,26049
27,1,96,21,21.88,75,78.13,27001
27,2,43,8,18.6,35,81.4,27002
27,3,8,6,75.0,2,25.0,27003
27,4,6,2,33.33,4,66.67,27004
27,5,6,3,50.0,3,50.0,27005
27,6,30,9,30.0,21,70.0,27006
27,7,34,6,17.65,28,82.35,27007
27,8,3,0,0.0,3,100.0,27008
27,9,42,10,23.81,32,76.19,27009
27,10,7,3,42.86,4,57.14,27010
27,11,74,20,27.03,54,72.97,27011
27,12,61,18,29.51,43,70.49,27012
27,13,16,6,37.5,10,62.5,27013
27,14,0,0,0.0,0,0.0,27014
27,15,2,0,0.0,2,100.0,27015
27,16,70,16,22.86,54,77.14,27016
27,17,12,4,33.33,8,66.67,27017
27,18,5,1,20.0,4,80.0,27018
27,19,11,4,36.36,7,63.64,27019
27,20,4,1,25.0,3,75.0,27020
27,21,73,12,16.44,61,83.56,27021
27,22,1,0,0.0,1,100.0,27022
27,23,2,1,50.0,1,50.0,27023
27,24,11,4,36.36,7,63.64,27024
27,25,14,6,42.86,8,57.14,27025
27,26,6,3,50.0,3,50.0,27026
27,27,23,10,43.48,13,56.52,27027
27,28,17,5,29.41,12,70.59,27028
27,29,5,2,40.0,3,60.0,27029
27,30,1,1,100.0,0,0.0,27030
27,31,1,1,100.0,0,0.0,27031
27,32,14,6,42.86,8,57.14,27032
27,33,44,13,29.55,31,70.45,27033
27,34,3,2,66.67,1,33.33,27034
27,35,67,18,26.87,49,73.13,27035
27,36,11,5,45.45,6,54.55,27036
27,37,45,11,24.44,34,75.56,27037
27,38,68,20,29.41,48,70.59,27038
27,39,5,1,20.0,4,80.0,27039
27,40,57,11,19.3,46,80.7,27040
27,41,4,1,25.0,3,75.0,27041
27,42,53,13,24.53,40,75.47,27042
27,43,5,1,20.0,4,80.0,27043
27,44,2,0,0.0,2,100.0,27044
27,45,93,16,17.2,77,82.8,27045
27,46,72,13,18.06,59,81.94,27046
27,47,16,5,31.25,11,68.75,27047
27,48,54,13,24.07,41,75.93,27048
27,49,1,0,0.0,1,100.0,27049
27,50,2,0,0.0,2,100.0,27050
28,1,0,0,0.0,0,0.0,28001
28,2,2,1,50.0,1,50.0,28002
28,3,4,0,0.0,4,100.0,28003
28,4,32,10,31.25,22,68.75,28004
28,5,3,1,33.33,2,66.67,28005
28,6,14,4,28.57,10,71.43,28006
28,7,1,0,0.0,1,100.0,28007
28,8,31,7,22.58,24,77.42,28008
28,9,2,0,0.0,2,100.0,28009
28,10,38,10,26.32,28,73.68,28010
28,11,49,21,42.86,28,57.14,28011
28,12,2,1,50.0,1,50.0,28012
28,13,3,3,100.0,0,0.0,28013
28,14,0,0,0.0,0,0.0,28014
28,15,3,1,33.33,2,66.67,28015
28,16,0,0,0.0,0,0.0,28016
28,17,2,1,50.0,1,50.0,28017
28,18,2,0,0.0,2,100.0,28018
28,19,23,10,43.48,13,56.52,28019
28,20,0,0,0.0,0,0.0,28020
28,21,2,2,100.0,0,0.0,28021
28,22,4,1,25.0,3,75.0,28022
28,23,4,1,25.0,3,75.0,28023
28,24,1,0,0.0,1,100.0,28024
28,25,3,0,0.0,3,100.0,28025
28,26,1,1,100.0,0,0.0,28026
28,27,60,12,20.0,48,80.0,28027
28,28,53,11,20.75,42,79.25,28028
28,29,6,2,33.33,4,66.67,28029
28,30,0,0,0.0,0,0.0,28030
28,31,4,1,25.0,3,75.0,28031
28,32,3,3,100.0,0,0.0,28032
28,33,2,0,0.0,2,100.0,28033
28,34,7,4,57.14,3,42.86,28034
28,35,1,0,0.0,1,100.0,28035
28,36,1,1,100.0,0,0.0,28036
28,37,1,0,0.0,1,100.0,28037
28,38,0,0,0.0,0,0.0,28038
28,39,0,0,0.0,0,0.0,28039
28,40,1,0,0.0,1,100.0,28040
28,41,0,0,0.0,0,0.0,28041
28,42,1,1,100.0,0,0.0,28042
28,43,2,1,50.0,1,50.0,28043
28,44,0,0,0.0,0,0.0,28044
28,45,51,11,21.57,40,78.43,28045
28,46,69,18,26.09,51,73.91,28046
29,1,45,13,28.89,32,71.11,29001
29,2,3,2,66.67,1,33.33,29002
29,3,0,0,0.0,0,0.0,29003
29,4,1,0,0.0,1,100.0,29004
29,5,7,3,42.86,4,57.14,29005
29,6,3,2,66.67,1,33.33,29006
29,7,23,11,47.83,12,52.17,29007
29,8,5,3,60.0,2,40.0,29008
29,9,64,24,37.5,40,62.5,29009
29,10,62,19,30.65,43,69.35,29010
29,11,1,0,0.0,1,100.0,29011
29,12,9,2,22.22,7,77.78,29012
29,13,6,2,33.33,4,66.67,29013
29,14,1,0,0.0,1,100.0,29014
29,15,5,1,20.0,4,80.0,29015
29,16,2,1,50.0,1,50.0,29016
29,17,3,1,33.33,2,66.67,29017
29,18,1,1,100.0,0,0.0,29018
29,19,4,1,25.0,3,75.0,29019
29,20,4,1,25.0,3,75.0,29020
29,21,6,4,66.67,2,33.33,29021
29,22,9,4,44.44,5,55.56,29022
29,23,56,14,25.0,42,75.0,29023
29,24,3,1,33.33,2,66.67,29024
29,25,2,1,50.0,1,50.0,29025
29,26,12,5,41.67,7,58.33,29026
29,27,0,0,0.0,0,0.0,29027
29,28,2,1,50.0,1,50.0,29028
29,29,64,22,34.38,42,65.63,29029
29,30,36,10,27.78,26,72.22,29030
29,31,92,29,31.52,63,68.48,29031
29,32,91,20,21.98,71,78.02,29032
29,33,2,2,100.0,0,0.0,29033
29,34,14,9,64.29,5,35.71,29034
29,35,2,1,50.0,1,50.0,29035
29,36,5,1,20.0,4,80.0,29036
29,37,9,4,44.44,5,55.56,29037
29,38,62,21,33.87,41,66.13,29038
29,39,49,13,26.53,36,73.47,29039
29,40,1,0,0.0,1,100.0,29040
29,41,4,4,100.0,0,0.0,29041
29,42,0,0,0.0,0,0.0,29042
29,43,17,2,11.76,15,88.24,29043
29,44,8,4,50.0,4,50.0,29044
30,1,47,16,34.04,31,65.96,30001
30,2,47,15,31.91,32,68.09,30002
30,3,27,8,29.63,19,70.37,30003
30,4,68,21,30.88,47,69.12,30004
30,5,20,9,45.0,11,55.0,30005
30,6,22,9,40.91,13,59.09,30006
30,7,52,19,36.54,33,63.46,30007
30,8,40,19,47.5,21,52.5,30008
30,9,37,13,35.14,24,64.86,30009
30,10,42,11,26.19,31,73.81,30010
30,11,20,11,55.0,9,45.0,30011
30,12,44,15,34.09,29,65.91,30012
30,13,37,15,40.54,22,59.46,30013
30,14,24,13,54.17,11,45.83,30014
30,15,47,23,48.94,24,51.06,30015
30,16,22,9,40.91,13,59.09,30016
30,17,44,11,25.0,33,75.0,30017
30,18,26,13,50.0,13,50.0,30018
30,19,28,13,46.43,15,53.57,30019
30,20,42,17,40.48,25,59.52,30020
30,21,30,9,30.0,21,70.0,30021
30,22,39,9,23.08,30,76.92,30022
30,23,37,13,35.14,24,64.86,30023
30,24,43,15,34.88,28,65.12,30024
30,25,46,15,32.61,31,67.39,30025
30,26,22,8,36.36,14,63.64,30026
30,27,22,10,45.45,12,54.55,30027
30,28,43,20,46.51,23,53.49,30028
30,29,22,8,36.36,14,63.64,30029
30,30,16,5,31.25,11,68.75,30030
30,31,36,10,27.78,26,72.22,30031
30,32,31,9,29.03,22,70.97,30032
31,1,15,6,40.0,9,60.0,31001
31,2,8,2,25.0,6,75.0,31002
31,3,28,8,28.57,20,71.43,31003
31,4,20,6,30.0,14,70.0,31004
31,5,37,10,27.03,27,72.97,31005
31,6,16,8,50.0,8,50.0,31006
31,7,21,4,19.05,17,80.95,31007
31,8,15,8,53.33,7,46.67,31008
31,9,23,6,26.09,17,73.91,31009
31,10,17,9,52.94,8,47.06,31010
31,11,30,7,23.33,23,76.67,31011
31,12,31,13,41.94,18,58.06,31012
31,13,11,6,54.55,5,45.45,31013
31,14,13,4,30.77,9,69.23,31014
31,15,30,11,36.67,19,63.33,31015
31,16,22,8,36.36,14,63.64,31016
31,17,31,11,35.48,20,64.52,31017
31,18,20,4,20.0,16,80.0,31018
31,19,23,6,26.09,17,73.91,31019
31,20,14,8,57.14,6,42.86,31020
31,21,21,9,42.86,12,57.14,31021
31,22,16,5,31.25,11,68.75,31022
31,23,27,13,48.15,14,51.85,31023
31,24,18,6,33.33,12,66.67,31024
31,25,23,8,34.78,15,65.22,31025
31,26,19,7,36.84,12,63.16,31026
31,27,26,11,42.31,15,57.69,31027
31,28,31,13,41.94,18,58.06,31028
31,29,13,5,38.46,8,61.54,31029
31,30,10,3,30.0,7,70.0,31030
31,31,26,9,34.62,17,65.38,31031
31,32,25,10,40.0,15,60.0,31032
31,33,36,10,27.78,26,72.22,31033
31,34,28,11,39.29,17,60.71,31034
31,35,46,21,45.65,25,54.35,31035
31,36,18,7,38.89,11,61.11,31036
31,37,23,6,26.09,17,73.91,31037
31,38,12,5,41.67,7,58.33,31038
31,39,16,8,50.0,8,50.0,31039
31,40,24,11,45.83,13,54.17,31040
31,41,16,7,43.75,9,56.25,31041
32,1,81,18,22.22,63,77.78,32001
32,2,76,18,23.68,58,76.32,32002
32,3,44,11,25.0,33,75.0,32003
32,4,56,10,17.86,46,82.14,32004
32,5,63,12,19.05,51,80.95,32005
32,6,70,18,25.71,52,74.29,32006
32,7,94,21,22.34,73,77.66,32007
32,8,105,17,16.19,88,83.81,32008
32,9,72,27,37.5,45,62.5,32009
32,10,94,25,26.6,69,73.4,32010
32,11,20,5,25.0,15,75.0,32011
32,12,13,4,30.77,9,69.23,32012
32,13,100,21,21.0,79,79.0,32013
32,14,28,11,39.29,17,60.71,32014
32,15,85,34,40.0,51,60.0,32015
32,16,64,18,28.13,46,71.88,32016
32,17,29,6,20.69,23,79.31,32017
32,18,99,24,24.24,75,75.76,32018
32,19,61,14,22.95,47,77.05,32019
32,20,16,5,31.25,11,68.75,32020
32,21,94,14,14.89,80,85.11,32021
32,22,38,9,23.68,29,76.32,32022
32,23,113,19,16.81,94,83.19,32023
32,24,66,13,19.7,53,80.3,32024
32,25,75,21,28.0,54,72.0,32025
32,26,38,11,28.95,27,71.05,32026
32,27,111,21,18.92,90,81.08,32027
32,28,28,9,32.14,19,67.86,32028
32,29,49,15,30.61,34,69.39,32029
32,30,96,29,30.21,67,69.79,32030
32,31,91,29,31.87,62,68.13,32031
32,32,64,16,25.0,48,75.0,32032
32,33,96,26,27.08,70,72.92,32033
32,34,56,17,30.36,39,69.64,32034
32,35,65,11,16.92,54,83.08,32035
32,36,85,21,24.71,64,75.29,32036
32,37,58,14,24.14,44,75.86,32037
