ward,precinct,total,(JB Pritzker,(JB Pritzker Percent,(Bruce Rauner,(Bruce Rauner Percent,(Grayson Kash Jackson,(Grayson Kash Jackson Percent,(William ''Sam'' McCann,(William ''Sam'' McCann Percent,precinct_id
10,7,271,214,78.97,38,14.02,11,4.06,8,2.95,10007
10,8,229,209,91.27,11,4.8,4,1.75,5,2.18,10008
10,9,351,230,65.53,106,30.2,2,0.57,13,3.7,10009
10,10,382,298,78.01,62,16.23,4,1.05,18,4.71,10010
10,11,422,338,80.09,63,14.93,12,2.84,9,2.13,10011
10,12,241,177,73.44,52,21.58,4,1.66,8,3.32,10012
10,13,333,298,89.49,30,9.01,3,0.9,2,0.6,10013
10,14,455,362,79.56,79,17.36,7,1.54,7,1.54,10014
10,15,681,641,94.13,16,2.35,14,2.06,10,1.47,10015
10,16,279,202,72.4,65,23.3,6,2.15,6,2.15,10016
10,17,487,325,66.74,133,27.31,5,1.03,24,4.93,10017
10,18,228,207,90.79,10,4.39,4,1.75,7,3.07,10018
10,19,382,254,66.49,104,27.23,7,1.83,17,4.45,10019
10,20,407,306,75.18,71,17.44,9,2.21,21,5.16,10020
10,21,362,299,82.6,46,12.71,6,1.66,11,3.04,10021
10,22,211,190,90.05,14,6.64,2,0.95,5,2.37,10022
10,23,321,275,85.67,33,10.28,9,2.8,4,1.25,10023
10,24,366,225,61.48,121,33.06,5,1.37,15,4.1,10024
10,25,106,96,90.57,5,4.72,4,3.77,1,0.94,10025
10,26,268,230,85.82,29,10.82,4,1.49,5,1.87,10026
10,27,357,322,90.2,23,6.44,6,1.68,6,1.68,10027
10,28,401,321,80.05,51,12.72,9,2.24,20,4.99,10028
10,29,322,259,80.43,44,13.66,6,1.86,13,4.04,10029
10,30,309,256,82.85,38,12.3,6,1.94,9,2.91,10030
10,31,272,247,90.81,14,5.15,6,2.21,5,1.84,10031
10,32,372,281,75.54,72,19.35,13,3.49,6,1.61,10032
10,33,248,211,85.08,26,10.48,8,3.23,3,1.21,10033
10,34,254,220,86.61,28,11.02,3,1.18,3,1.18,10034
10,35,429,289,67.37,123,28.67,6,1.4,11,2.56,10035
10,36,95,86,90.53,8,8.42,0,0.0,1,1.05,10036
11,1,439,312,71.07,97,22.1,20,4.56,10,2.28,11001
11,2,34,27,79.41,7,20.59,0,0.0,0,0.0,11002
11,3,437,387,88.56,33,7.55,11,2.52,6,1.37,11003
11,4,379,277,73.09,82,21.64,13,3.43,7,1.85,11004
11,5,552,450,81.52,72,13.04,19,3.44,11,1.99,11005
11,6,727,567,77.99,134,18.43,18,2.48,8,1.1,11006
11,7,686,594,86.59,65,9.48,21,3.06,6,0.87,11007
11,8,442,341,77.15,75,16.97,17,3.85,9,2.04,11008
11,9,358,257,71.79,74,20.67,15,4.19,12,3.35,11009
11,10,411,299,72.75,103,25.06,8,1.95,1,0.24,11010
11,11,485,322,66.39,138,28.45,15,3.09,10,2.06,11011
11,12,595,381,64.03,174,29.24,19,3.19,21,3.53,11012
11,13,529,304,57.47,188,35.54,16,3.02,21,3.97,11013
11,14,290,202,69.66,71,24.48,5,1.72,12,4.14,11014
11,15,176,128,72.73,41,23.3,2,1.14,5,2.84,11015
11,16,309,201,65.05,96,31.07,7,2.27,5,1.62,11016
11,17,545,408,74.86,113,20.73,15,2.75,9,1.65,11017
11,18,340,255,75.0,71,20.88,4,1.18,10,2.94,11018
11,19,559,438,78.35,94,16.82,16,2.86,11,1.97,11019
11,20,301,213,70.76,76,25.25,6,1.99,6,1.99,11020
11,21,555,392,70.63,136,24.5,13,2.34,14,2.52,11021
11,22,501,363,72.46,118,23.55,12,2.4,8,1.6,11022
11,23,271,172,63.47,86,31.73,6,2.21,7,2.58,11023
11,24,506,369,72.92,117,23.12,10,1.98,10,1.98,11024
11,25,571,413,72.33,134,23.47,16,2.8,8,1.4,11025
11,26,510,376,73.73,107,20.98,17,3.33,10,1.96,11026
11,27,149,122,81.88,23,15.44,2,1.34,2,1.34,11027
11,28,199,127,63.82,59,29.65,8,4.02,5,2.51,11028
11,29,496,355,71.57,123,24.8,10,2.02,8,1.61,11029
11,30,242,159,65.7,74,30.58,6,2.48,3,1.24,11030
11,31,433,269,62.12,136,31.41,13,3.0,15,3.46,11031
11,32,221,135,61.09,74,33.48,5,2.26,7,3.17,11032
11,33,566,412,72.79,137,24.2,5,0.88,12,2.12,11033
11,34,179,132,73.74,32,17.88,6,3.35,9,5.03,11034
11,35,136,104,76.47,28,20.59,3,2.21,1,0.74,11035
11,36,189,138,73.02,42,22.22,3,1.59,6,3.17,11036
11,37,134,107,79.85,26,19.4,0,0.0,1,0.75,11037
11,38,243,204,83.95,25,10.29,10,4.12,4,1.65,11038
12,1,364,304,83.52,45,12.36,10,2.75,5,1.37,12001
12,2,333,283,84.98,38,11.41,5,1.5,7,2.1,12002
12,3,496,399,80.44,78,15.73,11,2.22,8,1.61,12003
12,4,404,325,80.45,54,13.37,18,4.46,7,1.73,12004
12,5,345,246,71.3,86,24.93,10,2.9,3,0.87,12005
12,6,383,314,81.98,55,14.36,9,2.35,5,1.31,12006
12,7,339,298,87.91,23,6.78,10,2.95,8,2.36,12007
12,8,411,327,79.56,60,14.6,14,3.41,10,2.43,12008
12,9,323,246,76.16,54,16.72,14,4.33,9,2.79,12009
12,10,434,398,91.71,19,4.38,12,2.76,5,1.15,12010
12,11,380,338,88.95,25,6.58,12,3.16,5,1.32,12011
12,12,380,320,84.21,46,12.11,11,2.89,3,0.79,12012
12,13,374,318,85.03,41,10.96,4,1.07,11,2.94,12013
12,14,334,308,92.22,11,3.29,11,3.29,4,1.2,12014
12,15,287,255,88.85,21,7.32,9,3.14,2,0.7,12015
12,16,338,305,90.24,21,6.21,7,2.07,5,1.48,12016
12,17,370,306,82.7,48,12.97,7,1.89,9,2.43,12017
12,18,319,275,86.21,22,6.9,16,5.02,6,1.88,12018
12,19,386,315,81.61,49,12.69,16,4.15,6,1.55,12019
12,20,445,361,81.12,61,13.71,16,3.6,7,1.57,12020
12,21,360,299,83.06,40,11.11,11,3.06,10,2.78,12021
12,22,303,283,93.4,13,4.29,5,1.65,2,0.66,12022
12,23,380,303,79.74,49,12.89,14,3.68,14,3.68,12023
13,1,304,207,68.09,84,27.63,4,1.32,9,2.96,13001
13,2,311,208,66.88,92,29.58,3,0.96,8,2.57,13002
13,3,279,236,84.59,35,12.54,3,1.08,5,1.79,13003
13,4,369,227,61.52,116,31.44,7,1.9,19,5.15,13004
13,5,401,331,82.54,51,12.72,8,2.0,11,2.74,13005
13,6,352,209,59.38,121,34.38,7,1.99,15,4.26,13006
13,7,267,225,84.27,33,12.36,5,1.87,4,1.5,13007
13,8,281,185,65.84,77,27.4,10,3.56,9,3.2,13008
13,9,358,286,79.89,61,17.04,7,1.96,4,1.12,13009
13,10,331,153,46.22,151,45.62,9,2.72,18,5.44,13010
13,11,380,248,65.26,112,29.47,9,2.37,11,2.89,13011
13,12,307,233,75.9,65,21.17,5,1.63,4,1.3,13012
13,13,351,304,86.61,39,11.11,2,0.57,6,1.71,13013
13,14,353,287,81.3,50,14.16,7,1.98,9,2.55,13014
13,15,471,395,83.86,60,12.74,9,1.91,7,1.49,13015
13,16,231,187,80.95,38,16.45,3,1.3,3,1.3,13016
13,17,299,204,68.23,83,27.76,6,2.01,6,2.01,13017
13,18,277,169,61.01,91,32.85,6,2.17,11,3.97,13018
13,19,370,335,90.54,23,6.22,8,2.16,4,1.08,13019
13,20,208,114,54.81,83,39.9,4,1.92,7,3.37,13020
13,21,413,226,54.72,164,39.71,7,1.69,16,3.87,13021
13,22,388,231,59.54,130,33.51,9,2.32,18,4.64,13022
13,23,252,211,83.73,33,13.1,2,0.79,6,2.38,13023
13,24,341,255,74.78,66,19.35,10,2.93,10,2.93,13024
13,25,342,273,79.82,58,16.96,4,1.17,7,2.05,13025
13,26,328,240,73.17,73,22.26,8,2.44,7,2.13,13026
13,27,321,223,69.47,72,22.43,13,4.05,13,4.05,13027
13,28,269,220,81.78,43,15.99,3,1.12,3,1.12,13028
13,29,268,208,77.61,48,17.91,6,2.24,6,2.24,13029
13,30,273,245,89.74,18,6.59,7,2.56,3,1.1,13030
13,31,375,234,62.4,120,32.0,9,2.4,12,3.2,13031
13,32,293,157,53.58,120,40.96,7,2.39,9,3.07,13032
13,33,356,214,60.11,126,35.39,7,1.97,9,2.53,13033
13,34,415,363,87.47,37,8.92,10,2.41,5,1.2,13034
13,35,314,260,82.8,40,12.74,4,1.27,10,3.18,13035
13,36,212,180,84.91,22,10.38,5,2.36,5,2.36,13036
13,37,385,332,86.23,41,10.65,4,1.04,8,2.08,13037
13,38,314,184,58.6,111,35.35,7,2.23,12,3.82,13038
13,39,343,287,83.67,43,12.54,6,1.75,7,2.04,13039
13,40,356,281,78.93,65,18.26,4,1.12,6,1.69,13040
13,41,378,324,85.71,41,10.85,6,1.59,7,1.85,13041
13,42,352,202,57.39,134,38.07,6,1.7,10,2.84,13042
13,43,359,273,76.04,68,18.94,9,2.51,9,2.51,13043
13,44,346,309,89.31,33,9.54,1,0.29,3,0.87,13044
13,45,388,267,68.81,101,26.03,11,2.84,9,2.32,13045
13,46,400,321,80.25,62,15.5,11,2.75,6,1.5,13046
13,47,367,325,88.56,33,8.99,3,0.82,6,1.63,13047
13,48,316,188,59.49,107,33.86,8,2.53,13,4.11,13048
14,1,441,243,55.1,187,42.4,4,0.91,7,1.59,14001
14,2,449,353,78.62,78,17.37,12,2.67,6,1.34,14002
14,3,355,318,89.58,25,7.04,6,1.69,6,1.69,14003
14,4,386,216,55.96,154,39.9,5,1.3,11,2.85,14004
14,5,497,459,92.35,27,5.43,9,1.81,2,0.4,14005
14,6,170,157,92.35,11,6.47,2,1.18,0,0.0,14006
14,7,419,363,86.63,46,10.98,4,0.95,6,1.43,14007
14,8,410,341,83.17,59,14.39,6,1.46,4,0.98,14008
14,9,456,298,65.35,138,30.26,11,2.41,9,1.97,14009
14,10,262,205,78.24,40,15.27,8,3.05,9,3.44,14010
14,11,222,196,88.29,20,9.01,3,1.35,3,1.35,14011
14,12,397,313,78.84,64,16.12,6,1.51,14,3.53,14012
14,13,327,279,85.32,41,12.54,3,0.92,4,1.22,14013
14,14,328,276,84.15,37,11.28,11,3.35,4,1.22,14014
14,15,388,355,91.49,28,7.22,3,0.77,2,0.52,14015
14,16,245,198,80.82,40,16.33,4,1.63,3,1.22,14016
14,17,295,256,86.78,28,9.49,6,2.03,5,1.69,14017
14,18,160,107,66.88,48,30.0,2,1.25,3,1.88,14018
14,19,313,273,87.22,22,7.03,11,3.51,7,2.24,14019
14,20,249,215,86.35,27,10.84,5,2.01,2,0.8,14020
14,21,345,289,83.77,48,13.91,3,0.87,5,1.45,14021
14,22,491,351,71.49,113,23.01,13,2.65,14,2.85,14022
14,23,307,231,75.24,61,19.87,6,1.95,9,2.93,14023
14,24,459,276,60.13,165,35.95,7,1.53,11,2.4,14024
14,25,206,173,83.98,30,14.56,3,1.46,0,0.0,14025
14,26,265,235,88.68,17,6.42,4,1.51,9,3.4,14026
14,27,350,276,78.86,56,16.0,12,3.43,6,1.71,14027
14,28,279,229,82.08,37,13.26,9,3.23,4,1.43,14028
14,29,287,258,89.9,22,7.67,4,1.39,3,1.05,14029
14,30,193,173,89.64,17,8.81,2,1.04,1,0.52,14030
14,31,200,174,87.0,15,7.5,5,2.5,6,3.0,14031
15,1,323,269,83.28,36,11.15,13,4.02,5,1.55,15001
15,2,219,206,94.06,5,2.28,4,1.83,4,1.83,15002
15,3,234,223,95.3,5,2.14,4,1.71,2,0.85,15003
15,4,331,295,89.12,28,8.46,4,1.21,4,1.21,15004
15,5,304,268,88.16,33,10.86,1,0.33,2,0.66,15005
15,6,322,264,81.99,48,14.91,6,1.86,4,1.24,15006
15,7,241,229,95.02,5,2.07,7,2.9,0,0.0,15007
15,8,285,254,89.12,24,8.42,2,0.7,5,1.75,15008
15,9,421,370,87.89,36,8.55,9,2.14,6,1.43,15009
15,10,446,370,82.96,55,12.33,10,2.24,11,2.47,15010
15,11,369,318,86.18,40,10.84,7,1.9,4,1.08,15011
15,12,375,320,85.33,39,10.4,9,2.4,7,1.87,15012
15,13,296,263,88.85,22,7.43,4,1.35,7,2.36,15013
15,14,283,260,91.87,19,6.71,4,1.41,0,0.0,15014
15,15,265,221,83.4,29,10.94,14,5.28,1,0.38,15015
15,16,358,324,90.5,25,6.98,4,1.12,5,1.4,15016
15,17,268,253,94.4,7,2.61,6,2.24,2,0.75,15017
15,18,220,212,96.36,4,1.82,1,0.45,3,1.36,15018
15,19,299,259,86.62,29,9.7,8,2.68,3,1.0,15019
15,20,254,240,94.49,8,3.15,1,0.39,5,1.97,15020
15,21,216,203,93.98,5,2.31,6,2.78,2,0.93,15021
15,22,276,258,93.48,9,3.26,5,1.81,4,1.45,15022
15,23,270,258,95.56,6,2.22,5,1.85,1,0.37,15023
15,24,210,199,94.76,7,3.33,1,0.48,3,1.43,15024
16,1,378,334,88.36,33,8.73,6,1.59,5,1.32,16001
16,2,286,267,93.36,12,4.2,2,0.7,5,1.75,16002
16,3,238,226,94.96,6,2.52,2,0.84,4,1.68,16003
16,4,293,271,92.49,10,3.41,6,2.05,6,2.05,16004
16,5,196,184,93.88,3,1.53,6,3.06,3,1.53,16005
16,6,289,278,96.19,2,0.69,7,2.42,2,0.69,16006
16,7,258,235,91.09,10,3.88,6,2.33,7,2.71,16007
16,8,186,173,93.01,7,3.76,4,2.15,2,1.08,16008
16,9,287,272,94.77,8,2.79,6,2.09,1,0.35,16009
16,10,268,252,94.03,10,3.73,1,0.37,5,1.87,16010
16,11,277,258,93.14,12,4.33,5,1.81,2,0.72,16011
16,12,241,224,92.95,8,3.32,6,2.49,3,1.24,16012
16,13,273,249,91.21,16,5.86,4,1.47,4,1.47,16013
16,14,215,197,91.63,7,3.26,7,3.26,4,1.86,16014
16,15,294,277,94.22,9,3.06,4,1.36,4,1.36,16015
16,16,280,268,95.71,7,2.5,3,1.07,2,0.71,16016
16,17,335,311,92.84,16,4.78,5,1.49,3,0.9,16017
16,18,312,284,91.03,16,5.13,5,1.6,7,2.24,16018
16,19,245,228,93.06,6,2.45,5,2.04,6,2.45,16019
16,20,234,225,96.15,5,2.14,2,0.85,2,0.85,16020
16,21,245,233,95.1,5,2.04,3,1.22,4,1.63,16021
16,22,236,218,92.37,5,2.12,8,3.39,5,2.12,16022
16,23,326,296,90.8,24,7.36,2,0.61,4,1.23,16023
16,24,155,147,94.84,3,1.94,3,1.94,2,1.29,16024
16,25,331,304,91.84,12,3.63,7,2.11,8,2.42,16025
16,26,220,210,95.45,7,3.18,2,0.91,1,0.45,16026
16,27,243,229,94.24,7,2.88,5,2.06,2,0.82,16027
16,28,258,246,95.35,1,0.39,6,2.33,5,1.94,16028
16,29,268,260,97.01,3,1.12,3,1.12,2,0.75,16029
16,30,233,216,92.7,6,2.58,3,1.29,8,3.43,16030
16,31,289,278,96.19,6,2.08,0,0.0,5,1.73,16031
16,32,297,258,86.87,24,8.08,10,3.37,5,1.68,16032
16,33,263,255,96.96,3,1.14,4,1.52,1,0.38,16033
16,34,251,235,93.63,10,3.98,4,1.59,2,0.8,16034
16,35,350,323,92.29,15,4.29,5,1.43,7,2.0,16035
16,36,214,204,95.33,3,1.4,6,2.8,1,0.47,16036
17,1,341,300,87.98,26,7.62,7,2.05,8,2.35,17001
17,2,350,327,93.43,11,3.14,8,2.29,4,1.14,17002
17,3,354,329,92.94,15,4.24,2,0.56,8,2.26,17003
17,4,429,408,95.1,12,2.8,7,1.63,2,0.47,17004
17,5,261,242,92.72,9,3.45,3,1.15,7,2.68,17005
17,6,293,282,96.25,7,2.39,2,0.68,2,0.68,17006
17,7,280,264,94.29,10,3.57,5,1.79,1,0.36,17007
17,8,285,273,95.79,10,3.51,1,0.35,1,0.35,17008
17,9,274,265,96.72,6,2.19,2,0.73,1,0.36,17009
17,10,464,432,93.1,11,2.37,13,2.8,8,1.72,17010
17,11,271,256,94.46,2,0.74,10,3.69,3,1.11,17011
17,12,434,391,90.09,25,5.76,14,3.23,4,0.92,17012
17,13,296,281,94.93,9,3.04,5,1.69,1,0.34,17013
17,14,392,364,92.86,18,4.59,9,2.3,1,0.26,17014
17,15,373,347,93.03,16,4.29,6,1.61,4,1.07,17015
17,16,328,304,92.68,13,3.96,6,1.83,5,1.52,17016
17,17,322,297,92.24,17,5.28,7,2.17,1,0.31,17017
17,18,379,358,94.46,9,2.37,8,2.11,4,1.06,17018
17,19,201,188,93.53,7,3.48,4,1.99,2,1.0,17019
17,20,435,421,96.78,7,1.61,4,0.92,3,0.69,17020
17,21,461,440,95.44,4,0.87,14,3.04,3,0.65,17021
17,22,302,289,95.7,6,1.99,5,1.66,2,0.66,17022
17,23,223,215,96.41,5,2.24,2,0.9,1,0.45,17023
17,24,357,341,95.52,8,2.24,4,1.12,4,1.12,17024
17,25,267,251,94.01,5,1.87,8,3.0,3,1.12,17025
17,26,361,342,94.74,7,1.94,6,1.66,6,1.66,17026
17,27,333,314,94.29,11,3.3,7,2.1,1,0.3,17027
17,28,281,269,95.73,5,1.78,4,1.42,3,1.07,17028
17,29,348,320,91.95,15,4.31,6,1.72,7,2.01,17029
17,30,267,233,87.27,25,9.36,4,1.5,5,1.87,17030
17,31,216,207,95.83,3,1.39,3,1.39,3,1.39,17031
17,32,275,263,95.64,5,1.82,4,1.45,3,1.09,17032
17,33,221,206,93.21,9,4.07,2,0.9,4,1.81,17033
17,34,264,254,96.21,4,1.52,5,1.89,1,0.38,17034
17,35,237,231,97.47,3,1.27,3,1.27,0,0.0,17035
17,36,333,324,97.3,4,1.2,3,0.9,2,0.6,17036
17,37,297,284,95.62,6,2.02,5,1.68,2,0.67,17037
17,38,328,314,95.73,3,0.91,4,1.22,7,2.13,17038
17,39,328,303,92.38,10,3.05,7,2.13,8,2.44,17039
17,40,362,342,94.48,9,2.49,4,1.1,7,1.93,17040
17,41,419,403,96.18,3,0.72,9,2.15,4,0.95,17041
18,1,338,313,92.6,16,4.73,4,1.18,5,1.48,18001
18,2,343,285,83.09,45,13.12,3,0.87,10,2.92,18002
18,3,342,256,74.85,69,20.18,6,1.75,11,3.22,18003
18,4,404,382,94.55,14,3.47,5,1.24,3,0.74,18004
18,5,237,222,93.67,6,2.53,7,2.95,2,0.84,18005
18,6,317,223,70.35,80,25.24,3,0.95,11,3.47,18006
18,7,371,326,87.87,36,9.7,2,0.54,7,1.89,18007
18,8,389,361,92.8,18,4.63,4,1.03,6,1.54,18008
18,9,372,333,89.52,30,8.06,4,1.08,5,1.34,18009
18,10,498,459,92.17,25,5.02,7,1.41,7,1.41,18010
18,11,319,286,89.66,27,8.46,2,0.63,4,1.25,18011
18,12,384,357,92.97,19,4.95,6,1.56,2,0.52,18012
18,13,400,374,93.5,8,2.0,10,2.5,8,2.0,18013
18,14,406,391,96.31,6,1.48,7,1.72,2,0.49,18014
18,15,425,349,82.12,51,12.0,16,3.76,9,2.12,18015
18,16,365,333,91.23,18,4.93,9,2.47,5,1.37,18016
18,17,370,326,88.11,30,8.11,8,2.16,6,1.62,18017
18,18,312,294,94.23,9,2.88,5,1.6,4,1.28,18018
18,19,370,347,93.78,11,2.97,7,1.89,5,1.35,18019
18,20,302,290,96.03,10,3.31,1,0.33,1,0.33,18020
18,21,454,419,92.29,22,4.85,7,1.54,6,1.32,18021
18,22,457,434,94.97,10,2.19,5,1.09,8,1.75,18022
18,23,382,345,90.31,23,6.02,7,1.83,7,1.83,18023
18,24,384,305,79.43,58,15.1,8,2.08,13,3.39,18024
18,25,379,298,78.63,58,15.3,11,2.9,12,3.17,18025
18,26,464,436,93.97,17,3.66,5,1.08,6,1.29,18026
18,27,306,272,88.89,17,5.56,14,4.58,3,0.98,18027
18,28,360,250,69.44,92,25.56,8,2.22,10,2.78,18028
18,29,409,355,86.8,38,9.29,7,1.71,9,2.2,18029
18,30,445,336,75.51,88,19.78,7,1.57,14,3.15,18030
18,31,398,375,94.22,12,3.02,6,1.51,5,1.26,18031
18,32,384,360,93.75,15,3.91,7,1.82,2,0.52,18032
18,33,300,294,98.0,2,0.67,0,0.0,4,1.33,18033
18,34,459,416,90.63,27,5.88,9,1.96,7,1.53,18034
18,35,451,415,92.02,20,4.43,11,2.44,5,1.11,18035
18,36,410,343,83.66,52,12.68,9,2.2,6,1.46,18036
18,37,439,408,92.94,15,3.42,7,1.59,9,2.05,18037
18,38,367,352,95.91,9,2.45,4,1.09,2,0.54,18038
18,39,290,270,93.1,14,4.83,2,0.69,4,1.38,18039
18,40,408,337,82.6,41,10.05,14,3.43,16,3.92,18040
18,41,441,408,92.52,15,3.4,11,2.49,7,1.59,18041
18,42,335,304,90.75,15,4.48,9,2.69,7,2.09,18042
18,43,280,217,77.5,54,19.29,4,1.43,5,1.79,18043
18,44,330,228,69.09,83,25.15,4,1.21,15,4.55,18044
18,45,339,298,87.91,32,9.44,4,1.18,5,1.47,18045
18,46,419,330,78.76,73,17.42,6,1.43,10,2.39,18046
18,47,291,274,94.16,14,4.81,2,0.69,1,0.34,18047
18,48,315,294,93.33,9,2.86,9,2.86,3,0.95,18048
18,49,231,210,90.91,11,4.76,6,2.6,4,1.73,18049
18,50,295,281,95.25,9,3.05,2,0.68,3,1.02,18050
19,1,405,223,55.06,154,38.02,8,1.98,20,4.94,19001
19,2,612,503,82.19,88,14.38,10,1.63,11,1.8,19002
19,3,344,122,35.47,195,56.69,6,1.74,21,6.1,19003
19,4,491,218,44.4,237,48.27,15,3.05,21,4.28,19004
19,5,491,358,72.91,112,22.81,9,1.83,12,2.44,19005
19,6,460,211,45.87,219,47.61,10,2.17,20,4.35,19006
19,7,396,237,59.85,116,29.29,15,3.79,28,7.07,19007
19,8,483,210,43.48,233,48.24,10,2.07,30,6.21,19008
19,9,322,155,48.14,144,44.72,6,1.86,17,5.28,19009
19,10,539,392,72.73,126,23.38,13,2.41,8,1.48,19010
19,11,414,163,39.37,223,53.86,7,1.69,21,5.07,19011
19,12,360,141,39.17,197,54.72,5,1.39,17,4.72,19012
19,13,519,472,90.94,29,5.59,12,2.31,6,1.16,19013
19,14,516,387,75.0,101,19.57,10,1.94,18,3.49,19014
19,15,540,239,44.26,250,46.3,11,2.04,40,7.41,19015
19,16,462,197,42.64,230,49.78,8,1.73,27,5.84,19016
19,17,396,215,54.29,154,38.89,6,1.52,21,5.3,19017
19,18,410,277,67.56,114,27.8,9,2.2,10,2.44,19018
19,19,580,425,73.28,137,23.62,5,0.86,13,2.24,19019
19,20,366,317,86.61,33,9.02,8,2.19,8,2.19,19020
19,21,408,179,43.87,193,47.3,14,3.43,22,5.39,19021
19,22,479,313,65.34,142,29.65,12,2.51,12,2.51,19022
19,23,445,244,54.83,168,37.75,7,1.57,26,5.84,19023
19,24,318,119,37.42,178,55.97,5,1.57,16,5.03,19024
19,25,434,262,60.37,143,32.95,12,2.76,17,3.92,19025
19,26,456,273,59.87,158,34.65,13,2.85,12,2.63,19026
19,27,450,369,82.0,48,10.67,22,4.89,11,2.44,19027
19,28,496,450,90.73,19,3.83,18,3.63,9,1.81,19028
19,29,454,193,42.51,212,46.7,10,2.2,39,8.59,19029
19,30,399,175,43.86,185,46.37,13,3.26,26,6.52,19030
19,31,407,261,64.13,125,30.71,8,1.97,13,3.19,19031
19,32,408,232,56.86,138,33.82,16,3.92,22,5.39,19032
19,33,460,198,43.04,232,50.43,5,1.09,25,5.43,19033
19,34,412,261,63.35,134,32.52,6,1.46,11,2.67,19034
19,35,407,283,69.53,107,26.29,5,1.23,12,2.95,19035
19,36,602,532,88.37,51,8.47,8,1.33,11,1.83,19036
19,37,432,371,85.88,46,10.65,10,2.31,5,1.16,19037
19,38,392,333,84.95,46,11.73,5,1.28,8,2.04,19038
19,39,171,152,88.89,14,8.19,3,1.75,2,1.17,19039
19,40,470,340,72.34,104,22.13,16,3.4,10,2.13,19040
19,41,408,174,42.65,196,48.04,8,1.96,30,7.35,19041
19,42,379,296,78.1,66,17.41,12,3.17,5,1.32,19042
19,43,591,540,91.37,25,4.23,16,2.71,10,1.69,19043
19,44,481,207,43.04,237,49.27,11,2.29,26,5.41,19044
19,45,440,226,51.36,180,40.91,10,2.27,24,5.45,19045
19,46,464,242,52.16,193,41.59,8,1.72,21,4.53,19046
19,47,614,509,82.9,74,12.05,11,1.79,20,3.26,19047
19,48,501,470,93.81,20,3.99,7,1.4,4,0.8,19048
19,49,523,449,85.85,57,10.9,9,1.72,8,1.53,19049
19,50,372,223,59.95,121,32.53,14,3.76,14,3.76,19050
19,51,491,277,56.42,181,36.86,17,3.46,16,3.26,19051
19,52,468,221,47.22,193,41.24,18,3.85,36,7.69,19052
19,53,412,260,63.11,132,32.04,5,1.21,15,3.64,19053
19,54,369,150,40.65,191,51.76,8,2.17,20,5.42,19054
19,55,379,151,39.84,196,51.72,10,2.64,22,5.8,19055
19,56,473,339,71.67,125,26.43,5,1.06,4,0.85,19056
19,57,371,275,74.12,76,20.49,7,1.89,13,3.5,19057
20,1,369,345,93.5,13,3.52,6,1.63,5,1.36,20001
20,2,155,144,92.9,5,3.23,1,0.65,5,3.23,20002
20,3,322,297,92.24,9,2.8,7,2.17,9,2.8,20003
20,4,173,160,92.49,4,2.31,7,4.05,2,1.16,20004
20,5,441,407,92.29,10,2.27,12,2.72,12,2.72,20005
20,6,173,167,96.53,3,1.73,0,0.0,3,1.73,20006
20,7,404,387,95.79,9,2.23,6,1.49,2,0.5,20007
20,8,354,335,94.63,8,2.26,9,2.54,2,0.56,20008
20,9,534,506,94.76,11,2.06,8,1.5,9,1.69,20009
20,10,258,245,94.96,9,3.49,3,1.16,1,0.39,20010
20,11,510,489,95.88,11,2.16,9,1.76,1,0.2,20011
20,12,304,287,94.41,6,1.97,6,1.97,5,1.64,20012
20,13,402,376,93.53,13,3.23,6,1.49,7,1.74,20013
20,14,186,181,97.31,4,2.15,0,0.0,1,0.54,20014
20,15,308,285,92.53,18,5.84,5,1.62,0,0.0,20015
20,16,429,396,92.31,19,4.43,5,1.17,9,2.1,20016
20,17,229,206,89.96,16,6.99,5,2.18,2,0.87,20017
20,18,252,240,95.24,4,1.59,3,1.19,5,1.98,20018
20,19,383,360,93.99,12,3.13,6,1.57,5,1.31,20019
20,20,239,210,87.87,20,8.37,5,2.09,4,1.67,20020
20,21,257,239,93.0,14,5.45,1,0.39,3,1.17,20021
20,22,482,446,92.53,23,4.77,9,1.87,4,0.83,20022
20,23,409,387,94.62,12,2.93,6,1.47,4,0.98,20023
20,24,434,396,91.24,25,5.76,10,2.3,3,0.69,20024
20,25,280,260,92.86,12,4.29,6,2.14,2,0.71,20025
20,26,404,376,93.07,14,3.47,10,2.48,4,0.99,20026
20,27,199,181,90.95,8,4.02,5,2.51,5,2.51,20027
20,28,237,216,91.14,8,3.38,10,4.22,3,1.27,20028
20,29,445,430,96.63,8,1.8,4,0.9,3,0.67,20029
20,30,170,167,98.24,1,0.59,1,0.59,1,0.59,20030
20,31,456,432,94.74,14,3.07,8,1.75,2,0.44,20031
20,32,362,349,96.41,4,1.1,4,1.1,5,1.38,20032
20,33,222,210,94.59,9,4.05,3,1.35,0,0.0,20033
20,34,634,595,93.85,26,4.1,9,1.42,4,0.63,20034
20,35,268,254,94.78,7,2.61,6,2.24,1,0.37,20035
20,36,127,122,96.06,1,0.79,3,2.36,1,0.79,20036
20,37,115,112,97.39,1,0.87,1,0.87,1,0.87,20037
20,38,128,116,90.63,5,3.91,3,2.34,4,3.13,20038
20,39,24,19,79.17,4,16.67,1,4.17,0,0.0,20039
21,1,422,398,94.31,11,2.61,8,1.9,5,1.18,21001
21,2,295,280,94.92,6,2.03,7,2.37,2,0.68,21002
21,3,403,379,94.04,14,3.47,4,0.99,6,1.49,21003
