ward,precinct,total,Michael Weaver,Michael Weaver Percent,precinct_id
37,3,341,341,100.0,37003
37,4,352,352,100.0,37004
37,5,258,258,100.0,37005
37,6,445,445,100.0,37006
37,7,317,317,100.0,37007
37,8,435,435,100.0,37008
37,9,178,178,100.0,37009
37,10,310,310,100.0,37010
37,11,318,318,100.0,37011
37,12,385,385,100.0,37012
37,13,252,252,100.0,37013
37,14,415,415,100.0,37014
37,15,384,384,100.0,37015
37,16,421,421,100.0,37016
37,17,264,264,100.0,37017
37,18,321,321,100.0,37018
37,19,238,238,100.0,37019
37,20,447,447,100.0,37020
37,21,261,261,100.0,37021
37,22,313,313,100.0,37022
38,1,388,388,100.0,38001
38,2,247,247,100.0,38002
38,3,332,332,100.0,38003
38,4,253,253,100.0,38004
38,5,386,386,100.0,38005
38,6,277,277,100.0,38006
38,7,339,339,100.0,38007
38,8,276,276,100.0,38008
38,9,315,315,100.0,38009
38,10,264,264,100.0,38010
38,11,352,352,100.0,38011
38,12,465,465,100.0,38012
38,13,241,241,100.0,38013
38,14,296,296,100.0,38014
38,15,251,251,100.0,38015
38,16,487,487,100.0,38016
38,17,405,405,100.0,38017
38,18,496,496,100.0,38018
38,19,519,519,100.0,38019
38,20,444,444,100.0,38020
38,21,553,553,100.0,38021
38,22,379,379,100.0,38022
38,23,546,546,100.0,38023
38,24,489,489,100.0,38024
38,25,623,623,100.0,38025
39,1,417,417,100.0,39001
39,2,193,193,100.0,39002
39,3,338,338,100.0,39003
39,4,422,422,100.0,39004
39,5,309,309,100.0,39005
39,6,254,254,100.0,39006
39,7,246,246,100.0,39007
39,8,250,250,100.0,39008
39,9,214,214,100.0,39009
39,10,330,330,100.0,39010
39,11,224,224,100.0,39011
39,12,390,390,100.0,39012
39,13,576,576,100.0,39013
39,14,523,523,100.0,39014
39,15,478,478,100.0,39015
39,16,272,272,100.0,39016
39,17,584,584,100.0,39017
39,18,258,258,100.0,39018
39,19,647,647,100.0,39019
39,20,341,341,100.0,39020
39,21,535,535,100.0,39021
39,22,231,231,100.0,39022
39,23,57,57,100.0,39023
39,24,406,406,100.0,39024
39,25,290,290,100.0,39025
39,26,247,247,100.0,39026
39,27,224,224,100.0,39027
39,28,269,269,100.0,39028
39,29,108,108,100.0,39029
39,30,230,230,100.0,39030
39,31,260,260,100.0,39031
39,32,589,589,100.0,39032
39,33,236,236,100.0,39033
39,34,247,247,100.0,39034
39,35,488,488,100.0,39035
40,1,462,462,100.0,40001
40,2,518,518,100.0,40002
40,3,486,486,100.0,40003
40,4,462,462,100.0,40004
40,5,381,381,100.0,40005
40,6,433,433,100.0,40006
40,7,489,489,100.0,40007
40,8,303,303,100.0,40008
40,9,576,576,100.0,40009
40,10,878,878,100.0,40010
40,11,519,519,100.0,40011
40,12,610,610,100.0,40012
40,13,609,609,100.0,40013
40,14,817,817,100.0,40014
40,15,601,601,100.0,40015
40,16,608,608,100.0,40016
40,17,595,595,100.0,40017
40,18,708,708,100.0,40018
40,19,595,595,100.0,40019
40,20,667,667,100.0,40020
40,21,627,627,100.0,40021
40,22,844,844,100.0,40022
40,23,855,855,100.0,40023
41,1,270,270,100.0,41001
41,2,195,195,100.0,41002
41,3,205,205,100.0,41003
41,4,236,236,100.0,41004
41,5,277,277,100.0,41005
41,6,264,264,100.0,41006
41,7,236,236,100.0,41007
41,8,253,253,100.0,41008
41,9,484,484,100.0,41009
41,10,400,400,100.0,41010
41,11,336,336,100.0,41011
41,12,192,192,100.0,41012
41,13,432,432,100.0,41013
41,14,494,494,100.0,41014
41,15,596,596,100.0,41015
41,16,215,215,100.0,41016
41,17,133,133,100.0,41017
41,18,458,458,100.0,41018
41,19,242,242,100.0,41019
41,20,249,249,100.0,41020
41,21,242,242,100.0,41021
41,22,191,191,100.0,41022
41,23,269,269,100.0,41023
41,24,432,432,100.0,41024
41,25,365,365,100.0,41025
41,26,499,499,100.0,41026
41,27,342,342,100.0,41027
41,28,592,592,100.0,41028
41,29,581,581,100.0,41029
41,30,419,419,100.0,41030
41,31,357,357,100.0,41031
42,1,238,238,100.0,42001
42,2,246,246,100.0,42002
42,3,642,642,100.0,42003
42,4,552,552,100.0,42004
42,5,769,769,100.0,42005
42,6,311,311,100.0,42006
42,7,490,490,100.0,42007
42,8,372,372,100.0,42008
42,9,567,567,100.0,42009
42,10,376,376,100.0,42010
42,11,463,463,100.0,42011
42,12,348,348,100.0,42012
42,13,254,254,100.0,42013
42,14,200,200,100.0,42014
42,15,193,193,100.0,42015
42,16,597,597,100.0,42016
42,17,702,702,100.0,42017
42,18,400,400,100.0,42018
42,19,560,560,100.0,42019
42,20,568,568,100.0,42020
42,21,693,693,100.0,42021
42,22,622,622,100.0,42022
42,23,672,672,100.0,42023
42,24,652,652,100.0,42024
43,1,599,599,100.0,43001
43,2,736,736,100.0,43002
43,3,231,231,100.0,43003
43,4,485,485,100.0,43004
43,5,788,788,100.0,43005
43,6,926,926,100.0,43006
43,7,840,840,100.0,43007
43,8,704,704,100.0,43008
43,9,945,945,100.0,43009
43,10,580,580,100.0,43010
43,11,376,376,100.0,43011
43,12,772,772,100.0,43012
43,13,559,559,100.0,43013
43,14,345,345,100.0,43014
43,15,730,730,100.0,43015
43,16,291,291,100.0,43016
43,17,719,719,100.0,43017
43,18,836,836,100.0,43018
43,19,784,784,100.0,43019
43,20,645,645,100.0,43020
43,21,344,344,100.0,43021
43,22,803,803,100.0,43022
43,23,564,564,100.0,43023
44,1,821,821,100.0,44001
44,2,538,538,100.0,44002
44,3,746,746,100.0,44003
44,4,932,932,100.0,44004
44,5,757,757,100.0,44005
44,6,676,676,100.0,44006
44,7,701,701,100.0,44007
44,8,746,746,100.0,44008
44,9,920,920,100.0,44009
44,10,940,940,100.0,44010
44,11,720,720,100.0,44011
44,12,879,879,100.0,44012
44,13,831,831,100.0,44013
44,14,827,827,100.0,44014
44,15,948,948,100.0,44015
44,16,894,894,100.0,44016
44,17,930,930,100.0,44017
44,18,651,651,100.0,44018
44,19,900,900,100.0,44019
44,20,548,548,100.0,44020
44,21,952,952,100.0,44021
45,1,594,594,100.0,45001
45,2,333,333,100.0,45002
45,3,173,173,100.0,45003
45,4,239,239,100.0,45004
45,5,362,362,100.0,45005
45,6,387,387,100.0,45006
45,7,419,419,100.0,45007
45,8,326,326,100.0,45008
45,9,359,359,100.0,45009
45,10,371,371,100.0,45010
45,11,481,481,100.0,45011
45,12,340,340,100.0,45012
45,13,500,500,100.0,45013
45,14,288,288,100.0,45014
45,15,367,367,100.0,45015
45,16,445,445,100.0,45016
45,17,471,471,100.0,45017
45,18,462,462,100.0,45018
45,19,321,321,100.0,45019
45,20,433,433,100.0,45020
45,21,350,350,100.0,45021
45,22,484,484,100.0,45022
45,23,481,481,100.0,45023
45,24,382,382,100.0,45024
45,25,560,560,100.0,45025
45,26,437,437,100.0,45026
45,27,512,512,100.0,45027
45,28,501,501,100.0,45028
45,29,483,483,100.0,45029
46,1,652,652,100.0,46001
46,2,625,625,100.0,46002
46,3,702,702,100.0,46003
46,4,816,816,100.0,46004
46,5,654,654,100.0,46005
46,6,1020,1020,100.0,46006
46,7,647,647,100.0,46007
46,8,782,782,100.0,46008
46,9,760,760,100.0,46009
46,10,721,721,100.0,46010
46,11,814,814,100.0,46011
46,12,982,982,100.0,46012
46,13,874,874,100.0,46013
46,14,485,485,100.0,46014
46,15,926,926,100.0,46015
46,16,694,694,100.0,46016
46,17,883,883,100.0,46017
46,18,802,802,100.0,46018
46,19,639,639,100.0,46019
46,20,591,591,100.0,46020
46,21,434,434,100.0,46021
46,22,557,557,100.0,46022
46,23,501,501,100.0,46023
47,1,644,644,100.0,47001
47,2,608,608,100.0,47002
47,3,628,628,100.0,47003
47,4,784,784,100.0,47004
47,5,895,895,100.0,47005
47,6,774,774,100.0,47006
47,7,1087,1087,100.0,47007
47,8,693,693,100.0,47008
47,9,856,856,100.0,47009
47,10,767,767,100.0,47010
47,11,683,683,100.0,47011
47,12,509,509,100.0,47012
47,13,539,539,100.0,47013
47,14,624,624,100.0,47014
47,15,651,651,100.0,47015
47,16,662,662,100.0,47016
47,17,600,600,100.0,47017
47,18,770,770,100.0,47018
47,19,776,776,100.0,47019
47,20,720,720,100.0,47020
47,21,730,730,100.0,47021
47,22,593,593,100.0,47022
47,23,701,701,100.0,47023
47,24,835,835,100.0,47024
47,25,630,630,100.0,47025
47,26,814,814,100.0,47026
47,27,746,746,100.0,47027
47,28,535,535,100.0,47028
48,1,789,789,100.0,48001
48,2,255,255,100.0,48002
48,3,423,423,100.0,48003
48,4,457,457,100.0,48004
48,5,261,261,100.0,48005
48,6,635,635,100.0,48006
48,7,612,612,100.0,48007
48,8,403,403,100.0,48008
48,9,269,269,100.0,48009
48,10,743,743,100.0,48010
48,11,485,485,100.0,48011
48,12,646,646,100.0,48012
48,13,474,474,100.0,48013
48,14,578,578,100.0,48014
48,15,456,456,100.0,48015
48,16,366,366,100.0,48016
48,17,177,177,100.0,48017
48,18,618,618,100.0,48018
48,19,329,329,100.0,48019
48,20,226,226,100.0,48020
48,21,516,516,100.0,48021
48,22,305,305,100.0,48022
48,23,393,393,100.0,48023
48,24,709,709,100.0,48024
48,25,610,610,100.0,48025
48,26,333,333,100.0,48026
48,27,407,407,100.0,48027
48,28,514,514,100.0,48028
48,29,174,174,100.0,48029
48,30,552,552,100.0,48030
48,31,566,566,100.0,48031
48,32,485,485,100.0,48032
48,33,223,223,100.0,48033
48,34,442,442,100.0,48034
48,35,673,673,100.0,48035
49,1,669,669,100.0,49001
49,2,594,594,100.0,49002
49,3,797,797,100.0,49003
49,4,785,785,100.0,49004
49,5,853,853,100.0,49005
49,6,74,74,100.0,49006
49,7,784,784,100.0,49007
49,8,935,935,100.0,49008
49,9,851,851,100.0,49009
49,10,572,572,100.0,49010
49,11,633,633,100.0,49011
49,12,573,573,100.0,49012
49,13,728,728,100.0,49013
49,14,866,866,100.0,49014
49,15,766,766,100.0,49015
49,16,743,743,100.0,49016
49,17,838,838,100.0,49017
50,1,248,248,100.0,50001
50,2,313,313,100.0,50002
50,3,254,254,100.0,50003
50,4,324,324,100.0,50004
50,5,464,464,100.0,50005
50,6,246,246,100.0,50006
50,7,641,641,100.0,50007
50,8,434,434,100.0,50008
50,9,116,116,100.0,50009
50,10,223,223,100.0,50010
50,11,236,236,100.0,50011
50,12,111,111,100.0,50012
50,13,428,428,100.0,50013
50,14,69,69,100.0,50014
50,15,425,425,100.0,50015
50,16,65,65,100.0,50016
50,17,208,208,100.0,50017
50,18,36,36,100.0,50018
50,19,199,199,100.0,50019
50,20,180,180,100.0,50020
50,21,400,400,100.0,50021
50,22,293,293,100.0,50022
50,23,286,286,100.0,50023
50,24,263,263,100.0,50024
50,25,107,107,100.0,50025
50,26,159,159,100.0,50026
50,27,73,73,100.0,50027
50,28,440,440,100.0,50028
