ward,precinct,total,Thomas E. Nowinski,Thomas E. Nowinski Percent,precinct_id
37,2,291,291,100.0,37002
37,3,340,340,100.0,37003
37,4,352,352,100.0,37004
37,5,258,258,100.0,37005
37,6,451,451,100.0,37006
37,7,315,315,100.0,37007
37,8,436,436,100.0,37008
37,9,173,173,100.0,37009
37,10,307,307,100.0,37010
37,11,307,307,100.0,37011
37,12,382,382,100.0,37012
37,13,250,250,100.0,37013
37,14,409,409,100.0,37014
37,15,377,377,100.0,37015
37,16,413,413,100.0,37016
37,17,257,257,100.0,37017
37,18,312,312,100.0,37018
37,19,231,231,100.0,37019
37,20,448,448,100.0,37020
37,21,258,258,100.0,37021
37,22,312,312,100.0,37022
38,1,423,423,100.0,38001
38,2,261,261,100.0,38002
38,3,340,340,100.0,38003
38,4,260,260,100.0,38004
38,5,405,405,100.0,38005
38,6,296,296,100.0,38006
38,7,354,354,100.0,38007
38,8,294,294,100.0,38008
38,9,326,326,100.0,38009
38,10,273,273,100.0,38010
38,11,376,376,100.0,38011
38,12,485,485,100.0,38012
38,13,250,250,100.0,38013
38,14,310,310,100.0,38014
38,15,261,261,100.0,38015
38,16,489,489,100.0,38016
38,17,421,421,100.0,38017
38,18,508,508,100.0,38018
38,19,530,530,100.0,38019
38,20,449,449,100.0,38020
38,21,572,572,100.0,38021
38,22,391,391,100.0,38022
38,23,557,557,100.0,38023
38,24,500,500,100.0,38024
38,25,625,625,100.0,38025
39,1,421,421,100.0,39001
39,2,196,196,100.0,39002
39,3,340,340,100.0,39003
39,4,430,430,100.0,39004
39,5,314,314,100.0,39005
39,6,256,256,100.0,39006
39,7,248,248,100.0,39007
39,8,252,252,100.0,39008
39,9,215,215,100.0,39009
39,10,328,328,100.0,39010
39,11,228,228,100.0,39011
39,12,402,402,100.0,39012
39,13,581,581,100.0,39013
39,14,536,536,100.0,39014
39,15,479,479,100.0,39015
39,16,277,277,100.0,39016
39,17,598,598,100.0,39017
39,18,260,260,100.0,39018
39,19,650,650,100.0,39019
39,20,355,355,100.0,39020
39,21,539,539,100.0,39021
39,22,233,233,100.0,39022
39,23,56,56,100.0,39023
39,24,403,403,100.0,39024
39,25,291,291,100.0,39025
39,26,248,248,100.0,39026
39,27,228,228,100.0,39027
39,28,265,265,100.0,39028
39,29,112,112,100.0,39029
39,30,231,231,100.0,39030
39,31,262,262,100.0,39031
39,32,591,591,100.0,39032
39,33,237,237,100.0,39033
39,34,251,251,100.0,39034
39,35,481,481,100.0,39035
40,1,461,461,100.0,40001
40,2,523,523,100.0,40002
40,3,484,484,100.0,40003
40,4,463,463,100.0,40004
40,5,378,378,100.0,40005
40,6,438,438,100.0,40006
40,7,488,488,100.0,40007
40,8,302,302,100.0,40008
40,9,573,573,100.0,40009
40,10,876,876,100.0,40010
40,11,517,517,100.0,40011
40,12,607,607,100.0,40012
40,13,604,604,100.0,40013
40,14,814,814,100.0,40014
40,15,594,594,100.0,40015
40,16,598,598,100.0,40016
40,17,591,591,100.0,40017
40,18,704,704,100.0,40018
40,19,600,600,100.0,40019
40,20,664,664,100.0,40020
40,21,625,625,100.0,40021
40,22,844,844,100.0,40022
40,23,859,859,100.0,40023
41,1,275,275,100.0,41001
41,2,204,204,100.0,41002
41,3,215,215,100.0,41003
41,4,247,247,100.0,41004
41,5,286,286,100.0,41005
41,6,274,274,100.0,41006
41,7,250,250,100.0,41007
41,8,260,260,100.0,41008
41,9,507,507,100.0,41009
41,10,420,420,100.0,41010
41,11,340,340,100.0,41011
41,12,193,193,100.0,41012
41,13,450,450,100.0,41013
41,14,510,510,100.0,41014
41,15,609,609,100.0,41015
41,16,228,228,100.0,41016
41,17,144,144,100.0,41017
41,18,483,483,100.0,41018
41,19,244,244,100.0,41019
41,20,262,262,100.0,41020
41,21,243,243,100.0,41021
41,22,195,195,100.0,41022
41,23,275,275,100.0,41023
41,24,454,454,100.0,41024
41,25,372,372,100.0,41025
41,26,517,517,100.0,41026
41,27,350,350,100.0,41027
41,28,601,601,100.0,41028
41,29,604,604,100.0,41029
41,30,431,431,100.0,41030
41,31,375,375,100.0,41031
42,1,241,241,100.0,42001
42,2,246,246,100.0,42002
42,3,644,644,100.0,42003
42,4,550,550,100.0,42004
42,5,770,770,100.0,42005
42,6,313,313,100.0,42006
42,7,494,494,100.0,42007
42,8,371,371,100.0,42008
42,9,566,566,100.0,42009
42,10,377,377,100.0,42010
42,11,464,464,100.0,42011
42,12,348,348,100.0,42012
42,13,255,255,100.0,42013
42,14,201,201,100.0,42014
42,15,193,193,100.0,42015
42,16,603,603,100.0,42016
42,17,703,703,100.0,42017
42,18,400,400,100.0,42018
42,19,566,566,100.0,42019
42,20,573,573,100.0,42020
42,21,696,696,100.0,42021
42,22,625,625,100.0,42022
42,23,682,682,100.0,42023
42,24,666,666,100.0,42024
43,1,604,604,100.0,43001
43,2,733,733,100.0,43002
43,3,233,233,100.0,43003
43,4,489,489,100.0,43004
43,5,795,795,100.0,43005
43,6,928,928,100.0,43006
43,7,843,843,100.0,43007
43,8,703,703,100.0,43008
43,9,944,944,100.0,43009
43,10,584,584,100.0,43010
43,11,373,373,100.0,43011
43,12,775,775,100.0,43012
43,13,559,559,100.0,43013
43,14,347,347,100.0,43014
43,15,728,728,100.0,43015
43,16,296,296,100.0,43016
43,17,720,720,100.0,43017
43,18,837,837,100.0,43018
43,19,789,789,100.0,43019
43,20,647,647,100.0,43020
43,21,347,347,100.0,43021
43,22,803,803,100.0,43022
43,23,565,565,100.0,43023
44,1,816,816,100.0,44001
44,2,543,543,100.0,44002
44,3,746,746,100.0,44003
44,4,941,941,100.0,44004
44,5,757,757,100.0,44005
44,6,679,679,100.0,44006
44,7,696,696,100.0,44007
44,8,756,756,100.0,44008
44,9,921,921,100.0,44009
44,10,938,938,100.0,44010
44,11,721,721,100.0,44011
44,12,883,883,100.0,44012
44,13,836,836,100.0,44013
44,14,826,826,100.0,44014
44,15,951,951,100.0,44015
44,16,899,899,100.0,44016
44,17,929,929,100.0,44017
44,18,649,649,100.0,44018
44,19,899,899,100.0,44019
44,20,544,544,100.0,44020
44,21,954,954,100.0,44021
45,1,601,601,100.0,45001
45,2,337,337,100.0,45002
45,3,185,185,100.0,45003
45,4,240,240,100.0,45004
45,5,371,371,100.0,45005
45,6,389,389,100.0,45006
45,7,439,439,100.0,45007
45,8,332,332,100.0,45008
45,9,376,376,100.0,45009
45,10,379,379,100.0,45010
45,11,491,491,100.0,45011
45,12,352,352,100.0,45012
45,13,513,513,100.0,45013
45,14,300,300,100.0,45014
45,15,374,374,100.0,45015
45,16,452,452,100.0,45016
45,17,478,478,100.0,45017
45,18,472,472,100.0,45018
45,19,329,329,100.0,45019
45,20,438,438,100.0,45020
45,21,360,360,100.0,45021
45,22,484,484,100.0,45022
45,23,486,486,100.0,45023
45,24,389,389,100.0,45024
45,25,572,572,100.0,45025
45,26,448,448,100.0,45026
45,27,520,520,100.0,45027
45,28,504,504,100.0,45028
45,29,482,482,100.0,45029
46,1,655,655,100.0,46001
46,2,621,621,100.0,46002
46,3,696,696,100.0,46003
46,4,819,819,100.0,46004
46,5,657,657,100.0,46005
46,6,1031,1031,100.0,46006
46,7,647,647,100.0,46007
46,8,782,782,100.0,46008
46,9,761,761,100.0,46009
46,10,723,723,100.0,46010
46,11,816,816,100.0,46011
46,12,987,987,100.0,46012
46,13,873,873,100.0,46013
46,14,485,485,100.0,46014
46,15,934,934,100.0,46015
46,16,693,693,100.0,46016
46,17,882,882,100.0,46017
46,18,806,806,100.0,46018
46,19,634,634,100.0,46019
46,20,577,577,100.0,46020
46,21,432,432,100.0,46021
46,22,548,548,100.0,46022
46,23,505,505,100.0,46023
47,1,649,649,100.0,47001
47,2,608,608,100.0,47002
47,3,625,625,100.0,47003
47,4,778,778,100.0,47004
47,5,894,894,100.0,47005
47,6,776,776,100.0,47006
47,7,1080,1080,100.0,47007
47,8,690,690,100.0,47008
47,9,854,854,100.0,47009
47,10,765,765,100.0,47010
47,11,672,672,100.0,47011
47,12,503,503,100.0,47012
47,13,534,534,100.0,47013
47,14,623,623,100.0,47014
47,15,655,655,100.0,47015
47,16,664,664,100.0,47016
47,17,605,605,100.0,47017
47,18,772,772,100.0,47018
47,19,775,775,100.0,47019
47,20,724,724,100.0,47020
47,21,728,728,100.0,47021
47,22,596,596,100.0,47022
47,23,703,703,100.0,47023
47,24,833,833,100.0,47024
47,25,629,629,100.0,47025
47,26,819,819,100.0,47026
47,27,749,749,100.0,47027
47,28,534,534,100.0,47028
48,1,789,789,100.0,48001
48,2,257,257,100.0,48002
48,3,423,423,100.0,48003
48,4,455,455,100.0,48004
48,5,259,259,100.0,48005
48,6,635,635,100.0,48006
48,7,613,613,100.0,48007
48,8,403,403,100.0,48008
48,9,274,274,100.0,48009
48,10,739,739,100.0,48010
48,11,484,484,100.0,48011
48,12,651,651,100.0,48012
48,13,480,480,100.0,48013
48,14,573,573,100.0,48014
48,15,448,448,100.0,48015
48,16,368,368,100.0,48016
48,17,176,176,100.0,48017
48,18,615,615,100.0,48018
48,19,333,333,100.0,48019
48,20,228,228,100.0,48020
48,21,523,523,100.0,48021
48,22,305,305,100.0,48022
48,23,390,390,100.0,48023
48,24,715,715,100.0,48024
48,25,612,612,100.0,48025
48,26,334,334,100.0,48026
48,27,411,411,100.0,48027
48,28,514,514,100.0,48028
48,29,179,179,100.0,48029
48,30,556,556,100.0,48030
48,31,562,562,100.0,48031
48,32,487,487,100.0,48032
48,33,228,228,100.0,48033
48,34,443,443,100.0,48034
48,35,674,674,100.0,48035
49,1,673,673,100.0,49001
49,2,593,593,100.0,49002
49,3,792,792,100.0,49003
49,4,789,789,100.0,49004
49,5,850,850,100.0,49005
49,6,74,74,100.0,49006
49,7,787,787,100.0,49007
49,8,932,932,100.0,49008
49,9,847,847,100.0,49009
49,10,572,572,100.0,49010
49,11,640,640,100.0,49011
49,12,569,569,100.0,49012
49,13,720,720,100.0,49013
49,14,867,867,100.0,49014
49,15,765,765,100.0,49015
49,16,738,738,100.0,49016
49,17,833,833,100.0,49017
50,1,254,254,100.0,50001
50,2,311,311,100.0,50002
50,3,254,254,100.0,50003
50,4,332,332,100.0,50004
50,5,468,468,100.0,50005
50,6,246,246,100.0,50006
50,7,646,646,100.0,50007
50,8,439,439,100.0,50008
50,9,113,113,100.0,50009
50,10,228,228,100.0,50010
50,11,238,238,100.0,50011
50,12,109,109,100.0,50012
50,13,435,435,100.0,50013
50,14,69,69,100.0,50014
50,15,432,432,100.0,50015
50,16,67,67,100.0,50016
50,17,215,215,100.0,50017
50,18,38,38,100.0,50018
50,19,199,199,100.0,50019
50,20,181,181,100.0,50020
50,21,397,397,100.0,50021
50,22,289,289,100.0,50022
50,23,289,289,100.0,50023
50,24,265,265,100.0,50024
50,25,107,107,100.0,50025
50,26,158,158,100.0,50026
50,27,74,74,100.0,50027
50,28,439,439,100.0,50028
