ward,precinct,total,"Elizabeth """"Beth"""" Ryan","Elizabeth """"Beth"""" Ryan Percent",precinct_id
36,27,587,587,100.0,36027
37,1,349,349,100.0,37001
37,2,298,298,100.0,37002
37,3,342,342,100.0,37003
37,4,357,357,100.0,37004
37,5,259,259,100.0,37005
37,6,449,449,100.0,37006
37,7,327,327,100.0,37007
37,8,440,440,100.0,37008
37,9,181,181,100.0,37009
37,10,315,315,100.0,37010
37,11,313,313,100.0,37011
37,12,400,400,100.0,37012
37,13,254,254,100.0,37013
37,14,421,421,100.0,37014
37,15,389,389,100.0,37015
37,16,422,422,100.0,37016
37,17,257,257,100.0,37017
37,18,316,316,100.0,37018
37,19,233,233,100.0,37019
37,20,448,448,100.0,37020
37,21,263,263,100.0,37021
37,22,314,314,100.0,37022
38,1,404,404,100.0,38001
38,2,255,255,100.0,38002
38,3,330,330,100.0,38003
38,4,253,253,100.0,38004
38,5,399,399,100.0,38005
38,6,286,286,100.0,38006
38,7,349,349,100.0,38007
38,8,284,284,100.0,38008
38,9,321,321,100.0,38009
38,10,270,270,100.0,38010
38,11,358,358,100.0,38011
38,12,474,474,100.0,38012
38,13,247,247,100.0,38013
38,14,305,305,100.0,38014
38,15,261,261,100.0,38015
38,16,487,487,100.0,38016
38,17,412,412,100.0,38017
38,18,496,496,100.0,38018
38,19,533,533,100.0,38019
38,20,452,452,100.0,38020
38,21,568,568,100.0,38021
38,22,379,379,100.0,38022
38,23,547,547,100.0,38023
38,24,493,493,100.0,38024
38,25,619,619,100.0,38025
39,1,445,445,100.0,39001
39,2,202,202,100.0,39002
39,3,343,343,100.0,39003
39,4,435,435,100.0,39004
39,5,311,311,100.0,39005
39,6,255,255,100.0,39006
39,7,248,248,100.0,39007
39,8,251,251,100.0,39008
39,9,219,219,100.0,39009
39,10,331,331,100.0,39010
39,11,226,226,100.0,39011
39,12,402,402,100.0,39012
39,13,586,586,100.0,39013
39,14,607,607,100.0,39014
39,15,479,479,100.0,39015
39,16,278,278,100.0,39016
39,17,595,595,100.0,39017
39,18,260,260,100.0,39018
39,19,649,649,100.0,39019
39,20,345,345,100.0,39020
39,21,546,546,100.0,39021
39,22,240,240,100.0,39022
39,23,57,57,100.0,39023
39,24,405,405,100.0,39024
39,25,292,292,100.0,39025
39,26,251,251,100.0,39026
39,27,227,227,100.0,39027
39,28,267,267,100.0,39028
39,29,110,110,100.0,39029
39,30,235,235,100.0,39030
39,31,277,277,100.0,39031
39,32,617,617,100.0,39032
39,33,250,250,100.0,39033
39,34,262,262,100.0,39034
39,35,488,488,100.0,39035
40,1,473,473,100.0,40001
40,2,519,519,100.0,40002
40,3,489,489,100.0,40003
40,4,463,463,100.0,40004
40,5,379,379,100.0,40005
40,6,442,442,100.0,40006
40,7,496,496,100.0,40007
40,8,301,301,100.0,40008
40,9,577,577,100.0,40009
40,10,879,879,100.0,40010
40,11,524,524,100.0,40011
40,12,611,611,100.0,40012
40,13,607,607,100.0,40013
40,14,818,818,100.0,40014
40,15,600,600,100.0,40015
40,16,602,602,100.0,40016
40,17,595,595,100.0,40017
40,18,712,712,100.0,40018
40,19,601,601,100.0,40019
40,20,666,666,100.0,40020
40,21,630,630,100.0,40021
40,22,846,846,100.0,40022
40,23,856,856,100.0,40023
41,1,270,270,100.0,41001
41,2,192,192,100.0,41002
41,3,206,206,100.0,41003
41,4,248,248,100.0,41004
41,5,294,294,100.0,41005
41,6,267,267,100.0,41006
41,7,243,243,100.0,41007
41,8,256,256,100.0,41008
41,9,506,506,100.0,41009
41,10,410,410,100.0,41010
41,11,343,343,100.0,41011
41,12,192,192,100.0,41012
41,13,442,442,100.0,41013
41,14,508,508,100.0,41014
41,15,616,616,100.0,41015
41,16,226,226,100.0,41016
41,17,142,142,100.0,41017
41,18,471,471,100.0,41018
41,19,245,245,100.0,41019
41,20,256,256,100.0,41020
41,21,250,250,100.0,41021
41,22,197,197,100.0,41022
41,23,279,279,100.0,41023
41,24,453,453,100.0,41024
41,25,370,370,100.0,41025
41,26,518,518,100.0,41026
41,27,349,349,100.0,41027
41,28,606,606,100.0,41028
41,29,608,608,100.0,41029
41,30,435,435,100.0,41030
41,31,377,377,100.0,41031
42,1,242,242,100.0,42001
42,2,246,246,100.0,42002
42,3,643,643,100.0,42003
42,4,556,556,100.0,42004
42,5,776,776,100.0,42005
42,6,314,314,100.0,42006
42,7,493,493,100.0,42007
42,8,378,378,100.0,42008
42,9,571,571,100.0,42009
42,10,377,377,100.0,42010
42,11,468,468,100.0,42011
42,12,348,348,100.0,42012
42,13,255,255,100.0,42013
42,14,202,202,100.0,42014
42,15,193,193,100.0,42015
42,16,594,594,100.0,42016
42,17,709,709,100.0,42017
42,18,402,402,100.0,42018
42,19,565,565,100.0,42019
42,20,574,574,100.0,42020
42,21,702,702,100.0,42021
42,22,627,627,100.0,42022
42,23,683,683,100.0,42023
42,24,663,663,100.0,42024
43,1,604,604,100.0,43001
43,2,740,740,100.0,43002
43,3,238,238,100.0,43003
43,4,483,483,100.0,43004
43,5,802,802,100.0,43005
43,6,928,928,100.0,43006
43,7,841,841,100.0,43007
43,8,708,708,100.0,43008
43,9,947,947,100.0,43009
43,10,585,585,100.0,43010
43,11,378,378,100.0,43011
43,12,773,773,100.0,43012
43,13,560,560,100.0,43013
43,14,345,345,100.0,43014
43,15,742,742,100.0,43015
43,16,299,299,100.0,43016
43,17,728,728,100.0,43017
43,18,849,849,100.0,43018
43,19,793,793,100.0,43019
43,20,647,647,100.0,43020
43,21,349,349,100.0,43021
43,22,811,811,100.0,43022
43,23,566,566,100.0,43023
44,1,824,824,100.0,44001
44,2,545,545,100.0,44002
44,3,743,743,100.0,44003
44,4,951,951,100.0,44004
44,5,764,764,100.0,44005
44,6,682,682,100.0,44006
44,7,695,695,100.0,44007
44,8,749,749,100.0,44008
44,9,925,925,100.0,44009
44,10,937,937,100.0,44010
44,11,723,723,100.0,44011
44,12,886,886,100.0,44012
44,13,836,836,100.0,44013
44,14,831,831,100.0,44014
44,15,951,951,100.0,44015
44,16,906,906,100.0,44016
44,17,931,931,100.0,44017
44,18,653,653,100.0,44018
44,19,902,902,100.0,44019
44,20,552,552,100.0,44020
44,21,954,954,100.0,44021
45,1,632,632,100.0,45001
45,2,352,352,100.0,45002
45,3,185,185,100.0,45003
45,4,249,249,100.0,45004
45,5,372,372,100.0,45005
45,6,398,398,100.0,45006
45,7,427,427,100.0,45007
45,8,336,336,100.0,45008
45,9,372,372,100.0,45009
45,10,372,372,100.0,45010
45,11,494,494,100.0,45011
45,12,345,345,100.0,45012
45,13,513,513,100.0,45013
45,14,292,292,100.0,45014
45,15,379,379,100.0,45015
45,16,452,452,100.0,45016
45,17,474,474,100.0,45017
45,18,468,468,100.0,45018
45,19,320,320,100.0,45019
45,20,440,440,100.0,45020
45,21,356,356,100.0,45021
45,22,489,489,100.0,45022
45,23,481,481,100.0,45023
45,24,387,387,100.0,45024
45,25,571,571,100.0,45025
45,26,442,442,100.0,45026
45,27,520,520,100.0,45027
45,28,504,504,100.0,45028
45,29,491,491,100.0,45029
46,1,655,655,100.0,46001
46,2,629,629,100.0,46002
46,3,710,710,100.0,46003
46,4,820,820,100.0,46004
46,5,658,658,100.0,46005
46,6,1035,1035,100.0,46006
46,7,649,649,100.0,46007
46,8,781,781,100.0,46008
46,9,765,765,100.0,46009
46,10,724,724,100.0,46010
46,11,814,814,100.0,46011
46,12,986,986,100.0,46012
46,13,873,873,100.0,46013
46,14,488,488,100.0,46014
46,15,937,937,100.0,46015
46,16,694,694,100.0,46016
46,17,879,879,100.0,46017
46,18,806,806,100.0,46018
46,19,639,639,100.0,46019
46,20,585,585,100.0,46020
46,21,439,439,100.0,46021
46,22,558,558,100.0,46022
46,23,504,504,100.0,46023
47,1,648,648,100.0,47001
47,2,609,609,100.0,47002
47,3,628,628,100.0,47003
47,4,783,783,100.0,47004
47,5,897,897,100.0,47005
47,6,774,774,100.0,47006
47,7,1086,1086,100.0,47007
47,8,695,695,100.0,47008
47,9,855,855,100.0,47009
47,10,771,771,100.0,47010
47,11,679,679,100.0,47011
47,12,509,509,100.0,47012
47,13,539,539,100.0,47013
47,14,632,632,100.0,47014
47,15,658,658,100.0,47015
47,16,673,673,100.0,47016
47,17,608,608,100.0,47017
47,18,773,773,100.0,47018
47,19,775,775,100.0,47019
47,20,727,727,100.0,47020
47,21,733,733,100.0,47021
47,22,599,599,100.0,47022
47,23,708,708,100.0,47023
47,24,843,843,100.0,47024
47,25,634,634,100.0,47025
47,26,831,831,100.0,47026
47,27,750,750,100.0,47027
47,28,539,539,100.0,47028
48,1,790,790,100.0,48001
48,2,257,257,100.0,48002
48,3,421,421,100.0,48003
48,4,458,458,100.0,48004
48,5,263,263,100.0,48005
48,6,640,640,100.0,48006
48,7,611,611,100.0,48007
48,8,404,404,100.0,48008
48,9,269,269,100.0,48009
48,10,741,741,100.0,48010
48,11,485,485,100.0,48011
48,12,654,654,100.0,48012
48,13,481,481,100.0,48013
48,14,579,579,100.0,48014
48,15,453,453,100.0,48015
48,16,365,365,100.0,48016
48,17,178,178,100.0,48017
48,18,613,613,100.0,48018
48,19,331,331,100.0,48019
48,20,229,229,100.0,48020
48,21,521,521,100.0,48021
48,22,305,305,100.0,48022
48,23,397,397,100.0,48023
48,24,715,715,100.0,48024
48,25,612,612,100.0,48025
48,26,331,331,100.0,48026
48,27,411,411,100.0,48027
48,28,523,523,100.0,48028
48,29,177,177,100.0,48029
48,30,552,552,100.0,48030
48,31,569,569,100.0,48031
48,32,494,494,100.0,48032
48,33,227,227,100.0,48033
48,34,444,444,100.0,48034
48,35,671,671,100.0,48035
49,1,677,677,100.0,49001
49,2,605,605,100.0,49002
49,3,793,793,100.0,49003
49,4,787,787,100.0,49004
49,5,859,859,100.0,49005
49,6,74,74,100.0,49006
49,7,788,788,100.0,49007
49,8,940,940,100.0,49008
49,9,850,850,100.0,49009
49,10,573,573,100.0,49010
49,11,640,640,100.0,49011
49,12,569,569,100.0,49012
49,13,729,729,100.0,49013
49,14,872,872,100.0,49014
49,15,773,773,100.0,49015
49,16,741,741,100.0,49016
49,17,841,841,100.0,49017
50,1,250,250,100.0,50001
50,2,317,317,100.0,50002
50,3,256,256,100.0,50003
50,4,333,333,100.0,50004
50,5,474,474,100.0,50005
50,6,244,244,100.0,50006
50,7,651,651,100.0,50007
50,8,436,436,100.0,50008
50,9,115,115,100.0,50009
50,10,225,225,100.0,50010
50,11,241,241,100.0,50011
50,12,115,115,100.0,50012
50,13,432,432,100.0,50013
50,14,70,70,100.0,50014
50,15,429,429,100.0,50015
50,16,68,68,100.0,50016
50,17,211,211,100.0,50017
50,18,35,35,100.0,50018
50,19,201,201,100.0,50019
50,20,181,181,100.0,50020
50,21,400,400,100.0,50021
50,22,290,290,100.0,50022
50,23,289,289,100.0,50023
50,24,269,269,100.0,50024
50,25,109,109,100.0,50025
50,26,158,158,100.0,50026
50,27,74,74,100.0,50027
50,28,438,438,100.0,50028
