ward,precinct,total,Tracie Porter,Tracie Porter Percent,precinct_id
37,3,349,349,100.0,37003
37,4,366,366,100.0,37004
37,5,266,266,100.0,37005
37,6,461,461,100.0,37006
37,7,325,325,100.0,37007
37,8,445,445,100.0,37008
37,9,185,185,100.0,37009
37,10,320,320,100.0,37010
37,11,314,314,100.0,37011
37,12,403,403,100.0,37012
37,13,257,257,100.0,37013
37,14,421,421,100.0,37014
37,15,384,384,100.0,37015
37,16,428,428,100.0,37016
37,17,265,265,100.0,37017
37,18,328,328,100.0,37018
37,19,243,243,100.0,37019
37,20,455,455,100.0,37020
37,21,266,266,100.0,37021
37,22,323,323,100.0,37022
38,1,392,392,100.0,38001
38,2,251,251,100.0,38002
38,3,332,332,100.0,38003
38,4,247,247,100.0,38004
38,5,394,394,100.0,38005
38,6,287,287,100.0,38006
38,7,345,345,100.0,38007
38,8,285,285,100.0,38008
38,9,319,319,100.0,38009
38,10,269,269,100.0,38010
38,11,364,364,100.0,38011
38,12,473,473,100.0,38012
38,13,243,243,100.0,38013
38,14,295,295,100.0,38014
38,15,254,254,100.0,38015
38,16,483,483,100.0,38016
38,17,412,412,100.0,38017
38,18,501,501,100.0,38018
38,19,528,528,100.0,38019
38,20,445,445,100.0,38020
38,21,567,567,100.0,38021
38,22,387,387,100.0,38022
38,23,549,549,100.0,38023
38,24,498,498,100.0,38024
38,25,624,624,100.0,38025
39,1,411,411,100.0,39001
39,2,202,202,100.0,39002
39,3,341,341,100.0,39003
39,4,424,424,100.0,39004
39,5,310,310,100.0,39005
39,6,257,257,100.0,39006
39,7,248,248,100.0,39007
39,8,258,258,100.0,39008
39,9,214,214,100.0,39009
39,10,334,334,100.0,39010
39,11,225,225,100.0,39011
39,12,398,398,100.0,39012
39,13,579,579,100.0,39013
39,14,527,527,100.0,39014
39,15,479,479,100.0,39015
39,16,275,275,100.0,39016
39,17,585,585,100.0,39017
39,18,261,261,100.0,39018
39,19,644,644,100.0,39019
39,20,343,343,100.0,39020
39,21,545,545,100.0,39021
39,22,234,234,100.0,39022
39,23,56,56,100.0,39023
39,24,406,406,100.0,39024
39,25,297,297,100.0,39025
39,26,249,249,100.0,39026
39,27,224,224,100.0,39027
39,28,270,270,100.0,39028
39,29,108,108,100.0,39029
39,30,226,226,100.0,39030
39,31,264,264,100.0,39031
39,32,589,589,100.0,39032
39,33,231,231,100.0,39033
39,34,248,248,100.0,39034
39,35,485,485,100.0,39035
40,1,466,466,100.0,40001
40,2,526,526,100.0,40002
40,3,479,479,100.0,40003
40,4,469,469,100.0,40004
40,5,384,384,100.0,40005
40,6,435,435,100.0,40006
40,7,505,505,100.0,40007
40,8,303,303,100.0,40008
40,9,579,579,100.0,40009
40,10,877,877,100.0,40010
40,11,521,521,100.0,40011
40,12,614,614,100.0,40012
40,13,612,612,100.0,40013
40,14,817,817,100.0,40014
40,15,601,601,100.0,40015
40,16,605,605,100.0,40016
40,17,597,597,100.0,40017
40,18,711,711,100.0,40018
40,19,604,604,100.0,40019
40,20,662,662,100.0,40020
40,21,631,631,100.0,40021
40,22,840,840,100.0,40022
40,23,865,865,100.0,40023
41,1,265,265,100.0,41001
41,2,200,200,100.0,41002
41,3,202,202,100.0,41003
41,4,236,236,100.0,41004
41,5,285,285,100.0,41005
41,6,262,262,100.0,41006
41,7,232,232,100.0,41007
41,8,253,253,100.0,41008
41,9,493,493,100.0,41009
41,10,401,401,100.0,41010
41,11,338,338,100.0,41011
41,12,189,189,100.0,41012
41,13,440,440,100.0,41013
41,14,499,499,100.0,41014
41,15,603,603,100.0,41015
41,16,220,220,100.0,41016
41,17,137,137,100.0,41017
41,18,455,455,100.0,41018
41,19,239,239,100.0,41019
41,20,249,249,100.0,41020
41,21,251,251,100.0,41021
41,22,195,195,100.0,41022
41,23,265,265,100.0,41023
41,24,439,439,100.0,41024
41,25,362,362,100.0,41025
41,26,499,499,100.0,41026
41,27,345,345,100.0,41027
41,28,596,596,100.0,41028
41,29,587,587,100.0,41029
41,30,422,422,100.0,41030
41,31,359,359,100.0,41031
42,1,244,244,100.0,42001
42,2,247,247,100.0,42002
42,3,653,653,100.0,42003
42,4,552,552,100.0,42004
42,5,777,777,100.0,42005
42,6,316,316,100.0,42006
42,7,500,500,100.0,42007
42,8,375,375,100.0,42008
42,9,576,576,100.0,42009
42,10,390,390,100.0,42010
42,11,466,466,100.0,42011
42,12,345,345,100.0,42012
42,13,256,256,100.0,42013
42,14,200,200,100.0,42014
42,15,193,193,100.0,42015
42,16,599,599,100.0,42016
42,17,710,710,100.0,42017
42,18,398,398,100.0,42018
42,19,568,568,100.0,42019
42,20,572,572,100.0,42020
42,21,701,701,100.0,42021
42,22,630,630,100.0,42022
42,23,685,685,100.0,42023
42,24,660,660,100.0,42024
43,1,607,607,100.0,43001
43,2,735,735,100.0,43002
43,3,242,242,100.0,43003
43,4,485,485,100.0,43004
43,5,802,802,100.0,43005
43,6,930,930,100.0,43006
43,7,845,845,100.0,43007
43,8,703,703,100.0,43008
43,9,949,949,100.0,43009
43,10,591,591,100.0,43010
43,11,383,383,100.0,43011
43,12,774,774,100.0,43012
43,13,562,562,100.0,43013
43,14,344,344,100.0,43014
43,15,742,742,100.0,43015
43,16,293,293,100.0,43016
43,17,726,726,100.0,43017
43,18,838,838,100.0,43018
43,19,785,785,100.0,43019
43,20,646,646,100.0,43020
43,21,347,347,100.0,43021
43,22,808,808,100.0,43022
43,23,564,564,100.0,43023
44,1,835,835,100.0,44001
44,2,541,541,100.0,44002
44,3,747,747,100.0,44003
44,4,945,945,100.0,44004
44,5,763,763,100.0,44005
44,6,686,686,100.0,44006
44,7,703,703,100.0,44007
44,8,760,760,100.0,44008
44,9,925,925,100.0,44009
44,10,943,943,100.0,44010
44,11,725,725,100.0,44011
44,12,882,882,100.0,44012
44,13,840,840,100.0,44013
44,14,827,827,100.0,44014
44,15,956,956,100.0,44015
44,16,904,904,100.0,44016
44,17,935,935,100.0,44017
44,18,656,656,100.0,44018
44,19,905,905,100.0,44019
44,20,553,553,100.0,44020
44,21,961,961,100.0,44021
45,1,593,593,100.0,45001
45,2,334,334,100.0,45002
45,3,180,180,100.0,45003
45,4,234,234,100.0,45004
45,5,365,365,100.0,45005
45,6,389,389,100.0,45006
45,7,423,423,100.0,45007
45,8,328,328,100.0,45008
45,9,367,367,100.0,45009
45,10,370,370,100.0,45010
45,11,482,482,100.0,45011
45,12,344,344,100.0,45012
45,13,504,504,100.0,45013
45,14,297,297,100.0,45014
45,15,369,369,100.0,45015
45,16,453,453,100.0,45016
45,17,480,480,100.0,45017
45,18,469,469,100.0,45018
45,19,319,319,100.0,45019
45,20,433,433,100.0,45020
45,21,353,353,100.0,45021
45,22,487,487,100.0,45022
45,23,480,480,100.0,45023
45,24,387,387,100.0,45024
45,25,566,566,100.0,45025
45,26,449,449,100.0,45026
45,27,523,523,100.0,45027
45,28,503,503,100.0,45028
45,29,481,481,100.0,45029
46,1,658,658,100.0,46001
46,2,630,630,100.0,46002
46,3,708,708,100.0,46003
46,4,819,819,100.0,46004
46,5,660,660,100.0,46005
46,6,1041,1041,100.0,46006
46,7,652,652,100.0,46007
46,8,790,790,100.0,46008
46,9,769,769,100.0,46009
46,10,722,722,100.0,46010
46,11,817,817,100.0,46011
46,12,993,993,100.0,46012
46,13,884,884,100.0,46013
46,14,476,476,100.0,46014
46,15,940,940,100.0,46015
46,16,698,698,100.0,46016
46,17,885,885,100.0,46017
46,18,810,810,100.0,46018
46,19,640,640,100.0,46019
46,20,587,587,100.0,46020
46,21,438,438,100.0,46021
46,22,561,561,100.0,46022
46,23,510,510,100.0,46023
47,1,648,648,100.0,47001
47,2,608,608,100.0,47002
47,3,634,634,100.0,47003
47,4,786,786,100.0,47004
47,5,898,898,100.0,47005
47,6,781,781,100.0,47006
47,7,1091,1091,100.0,47007
47,8,699,699,100.0,47008
47,9,861,861,100.0,47009
47,10,770,770,100.0,47010
47,11,682,682,100.0,47011
47,12,513,513,100.0,47012
47,13,545,545,100.0,47013
47,14,630,630,100.0,47014
47,15,655,655,100.0,47015
47,16,668,668,100.0,47016
47,17,608,608,100.0,47017
47,18,771,771,100.0,47018
47,19,777,777,100.0,47019
47,20,725,725,100.0,47020
47,21,739,739,100.0,47021
47,22,596,596,100.0,47022
47,23,703,703,100.0,47023
47,24,837,837,100.0,47024
47,25,635,635,100.0,47025
47,26,818,818,100.0,47026
47,27,753,753,100.0,47027
47,28,536,536,100.0,47028
48,1,795,795,100.0,48001
48,2,265,265,100.0,48002
48,3,435,435,100.0,48003
48,4,457,457,100.0,48004
48,5,266,266,100.0,48005
48,6,649,649,100.0,48006
48,7,615,615,100.0,48007
48,8,402,402,100.0,48008
48,9,274,274,100.0,48009
48,10,763,763,100.0,48010
48,11,489,489,100.0,48011
48,12,666,666,100.0,48012
48,13,486,486,100.0,48013
48,14,575,575,100.0,48014
48,15,459,459,100.0,48015
48,16,372,372,100.0,48016
48,17,176,176,100.0,48017
48,18,627,627,100.0,48018
48,19,330,330,100.0,48019
48,20,235,235,100.0,48020
48,21,522,522,100.0,48021
48,22,322,322,100.0,48022
48,23,394,394,100.0,48023
48,24,718,718,100.0,48024
48,25,613,613,100.0,48025
48,26,335,335,100.0,48026
48,27,413,413,100.0,48027
48,28,523,523,100.0,48028
48,29,178,178,100.0,48029
48,30,556,556,100.0,48030
48,31,574,574,100.0,48031
48,32,499,499,100.0,48032
48,33,232,232,100.0,48033
48,34,446,446,100.0,48034
48,35,688,688,100.0,48035
49,1,687,687,100.0,49001
49,2,610,610,100.0,49002
49,3,812,812,100.0,49003
49,4,806,806,100.0,49004
49,5,864,864,100.0,49005
49,6,73,73,100.0,49006
49,7,807,807,100.0,49007
49,8,951,951,100.0,49008
49,9,859,859,100.0,49009
49,10,577,577,100.0,49010
49,11,643,643,100.0,49011
49,12,582,582,100.0,49012
49,13,732,732,100.0,49013
49,14,876,876,100.0,49014
49,15,783,783,100.0,49015
49,16,755,755,100.0,49016
49,17,840,840,100.0,49017
50,1,246,246,100.0,50001
50,2,308,308,100.0,50002
50,3,257,257,100.0,50003
50,4,331,331,100.0,50004
50,5,466,466,100.0,50005
50,6,249,249,100.0,50006
50,7,652,652,100.0,50007
50,8,443,443,100.0,50008
50,9,114,114,100.0,50009
50,10,224,224,100.0,50010
50,11,244,244,100.0,50011
50,12,115,115,100.0,50012
50,13,440,440,100.0,50013
50,14,68,68,100.0,50014
50,15,432,432,100.0,50015
50,16,67,67,100.0,50016
50,17,215,215,100.0,50017
50,18,36,36,100.0,50018
50,19,201,201,100.0,50019
50,20,183,183,100.0,50020
50,21,401,401,100.0,50021
50,22,291,291,100.0,50022
50,23,291,291,100.0,50023
50,24,267,267,100.0,50024
50,25,107,107,100.0,50025
50,26,160,160,100.0,50026
50,27,73,73,100.0,50027
50,28,440,440,100.0,50028
